Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Sheraldo Becker,31,2026-05-10,1. FSV Mainz 05,1. FC Union Berlin,8.5,81,,,0.0,1,0,0.44,0.68,20,25,0,0,0,0,2,32
Sheraldo Becker,31,2026-05-03,FC St. Pauli,1. FSV Mainz 05,6.5,72,,,0.0,0,0,0.26,0.23,9,12,2,0,0,0,3,18
Sheraldo Becker,31,2026-04-25,1. FSV Mainz 05,FC Bayern München,7.6,71,,,0.0,1,0,1.09,0.03,9,11,0,0,0,0,1,24
Sheraldo Becker,31,2026-04-19,Borussia M'gladbach,1. FSV Mainz 05,5.9,66,,,0.0,0,0,0.36,0.02,10,15,0,0,1,0,1,32
Sheraldo Becker,31,2026-04-12,1. FSV Mainz 05,SC Freiburg,6.6,90,,,0.0,0,0,0.11,0.08,9,15,2,0,1,0,3,29
Sheraldo Becker,31,2026-04-04,TSG Hoffenheim,1. FSV Mainz 05,6.5,75,,,0.0,0,0,0.5,0.17,7,11,1,0,0,0,0,24
Sheraldo Becker,31,2026-03-26,Bolivia,Suriname,6.4,18,,,0.0,0,0,0.0,0.0,2,4,0,0,0,0,1,6
Sheraldo Becker,31,2026-03-22,1. FSV Mainz 05,Eintracht Frankfurt,7.1,89,,,0.0,0,0,0.73,0.19,7,10,2,0,0,0,2,22
Sheraldo Becker,31,2026-03-15,SV Werder Bremen,1. FSV Mainz 05,6.9,87,,,0.0,0,0,0.03,0.59,10,17,2,0,0,0,3,31
Sheraldo Becker,31,2026-03-07,1. FSV Mainz 05,VfB Stuttgart,7.0,74,,,0.0,0,0,0.25,0.88,6,8,4,0,1,0,2,21
Sheraldo Becker,31,2026-02-28,Bayer 04 Leverkusen,1. FSV Mainz 05,7.4,69,,,0.0,1,0,0.22,0.12,12,14,1,0,0,0,4,25
Sheraldo Becker,31,2026-02-20,1. FSV Mainz 05,Hamburger SV,7.2,45,,,0.0,0,0,0.08,0.08,9,12,1,0,0,0,3,18
Sheraldo Becker,31,2026-02-13,Borussia Dortmund,1. FSV Mainz 05,6.4,30,,,0.0,0,0,0.13,0.01,5,6,0,0,0,0,0,9
Sheraldo Becker,31,2026-02-07,1. FSV Mainz 05,FC Augsburg,6.4,27,,,0.0,0,0,0.02,0.03,4,5,0,0,0,0,2,12
Sheraldo Becker,31,2026-01-31,Osasuna,Villarreal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
