Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Danilho Doekhi,27,2026-05-10,1. FSV Mainz 05,1. FC Union Berlin,7.3,90,,,0.0,0,0,0.35,0.02,49,56,0,0,0,0,1,67
Danilho Doekhi,27,2026-05-02,1. FC Union Berlin,1. FC Köln,6.7,90,,,0.0,0,0,0.0,0.01,49,61,0,0,0,0,6,70
Danilho Doekhi,27,2026-04-24,RB Leipzig,1. FC Union Berlin,7.6,90,,,0.0,1,0,0.12,0.01,23,26,0,0,4,0,2,43
Danilho Doekhi,27,2026-04-18,1. FC Union Berlin,VfL Wolfsburg,6.3,90,,,0.0,0,0,0.3,0.02,44,57,1,0,3,0,4,76
Danilho Doekhi,27,2026-04-11,1. FC Heidenheim,1. FC Union Berlin,6.0,90,,,0.0,0,0,0.0,0.03,41,53,0,0,0,0,4,67
Danilho Doekhi,27,2026-04-05,1. FC Union Berlin,FC St. Pauli,6.8,90,,,0.0,0,0,0.32,0.02,37,50,0,0,1,0,5,70
Danilho Doekhi,27,2026-03-21,FC Bayern München,1. FC Union Berlin,5.9,90,,,0.0,0,0,0.0,0.01,28,29,1,0,0,0,2,43
Danilho Doekhi,27,2026-03-15,SC Freiburg,1. FC Union Berlin,8.4,90,,,0.0,0,0,0.04,0.01,15,23,0,0,2,0,4,44
Danilho Doekhi,27,2026-03-08,1. FC Union Berlin,SV Werder Bremen,5.6,90,,,0.0,0,0,0.0,0.0,10,18,0,0,1,0,2,25
Danilho Doekhi,27,2026-02-28,Borussia M'gladbach,1. FC Union Berlin,5.8,90,,,0.0,0,0,0.0,0.06,29,41,0,0,1,0,3,55
Danilho Doekhi,27,2026-02-21,1. FC Union Berlin,Bayer 04 Leverkusen,7.2,90,,,0.0,0,0,0.04,0.04,19,28,0,0,1,0,1,41
Danilho Doekhi,27,2026-02-14,Hamburger SV,1. FC Union Berlin,5.9,90,,,0.0,0,0,0.17,0.25,33,45,0,0,1,0,3,60
Danilho Doekhi,27,2026-02-06,1. FC Union Berlin,Eintracht Frankfurt,6.5,90,,,0.0,0,0,0.0,0.01,12,19,0,0,2,0,4,26
Danilho Doekhi,27,2026-01-31,TSG Hoffenheim,1. FC Union Berlin,6.1,90,,,0.0,0,0,0.1,0.21,18,29,1,0,0,0,5,48
Danilho Doekhi,27,2026-01-24,1. FC Union Berlin,Borussia Dortmund,5.7,90,,,0.0,0,0,0.03,0.01,23,32,0,0,2,0,2,40
