Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Silas,27,2026-03-12,SK Sigma Olomouc,1. FSV Mainz 05,6.1,67,,,0.0,0,0,0.0,0.01,8,12,0,0,0,0,1,21
Silas,27,2026-03-07,1. FSV Mainz 05,VfB Stuttgart,6.6,16,,,0.0,0,0,0.0,0.07,3,4,0,0,0,0,0,6
Silas,27,2026-02-28,Bayer 04 Leverkusen,1. FSV Mainz 05,6.3,21,,,0.0,0,0,0.0,0.0,2,4,1,0,0,0,1,13
Silas,27,2026-02-20,1. FSV Mainz 05,Hamburger SV,6.5,45,,,0.0,0,0,0.01,0.02,7,8,1,0,0,0,2,14
Silas,27,2026-02-13,Borussia Dortmund,1. FSV Mainz 05,6.6,60,,,0.0,0,0,0.2,0.0,6,6,0,0,0,0,1,15
Silas,27,2026-02-07,1. FSV Mainz 05,FC Augsburg,6.3,63,,,0.0,0,0,0.23,0.0,5,9,0,0,0,0,2,22
Silas,27,2026-01-31,RB Leipzig,1. FSV Mainz 05,8.3,68,,,0.0,1,0,0.67,0.1,10,15,1,0,0,0,5,34
Silas,27,2026-01-24,1. FSV Mainz 05,VfL Wolfsburg,6.4,8,,,0.0,0,0,0.0,0.0,2,3,0,0,0,0,0,7
Silas,27,2026-01-17,1. FC Köln,1. FSV Mainz 05,6.5,61,,,0.0,0,0,0.57,0.02,8,9,0,0,0,0,3,24
Silas,27,2025-03-29,FK Vojvodina,FK Crvena zvezda,6.4,8,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Silas,27,2025-03-21,DR Congo,South Sudan,,57,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Silas,27,2025-03-16,FK Crvena zvezda,FK Spartak Subotica,6.7,26,,,0.0,0,0,0.0,0.0,4,6,1,0,0,0,0,10
Silas,27,2025-03-08,FK Radnički Niš,FK Crvena zvezda,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
