Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ramy Bensebaini,31,2026-04-26,Borussia Dortmund,SC Freiburg,9.3,90,,,0.0,1,0,0.36,0.24,57,64,2,0,0,0,8,82
Ramy Bensebaini,31,2026-04-18,TSG Hoffenheim,Borussia Dortmund,7.1,48,,,0.0,0,0,0.0,0.04,44,50,1,0,3,0,2,61
Ramy Bensebaini,31,2026-04-11,Borussia Dortmund,Bayer 04 Leverkusen,5.8,90,,,0.0,0,0,0.04,0.03,59,65,1,0,1,0,5,82
Ramy Bensebaini,31,2026-04-04,VfB Stuttgart,Borussia Dortmund,6.8,90,,,0.0,0,0,0.07,0.06,31,42,0,0,3,0,5,62
Ramy Bensebaini,31,2026-03-31,Algeria,Uruguay,7.6,90,,,0.0,0,0,0.0,0.0,38,44,0,0,2,0,1,62
Ramy Bensebaini,31,2026-03-27,Algeria,Guatemala,7.3,69,,,0.0,0,0,0.0,0.0,40,48,0,0,2,0,5,58
Ramy Bensebaini,31,2026-03-21,Borussia Dortmund,Hamburger SV,8.2,45,,,0.0,2,0,1.58,0.07,35,41,1,0,0,0,3,49
Ramy Bensebaini,31,2026-03-07,1. FC Köln,Borussia Dortmund,7.6,82,,,0.0,0,0,0.07,0.03,60,68,0,0,0,0,5,85
Ramy Bensebaini,31,2026-02-28,Borussia Dortmund,FC Bayern München,5.8,46,,,0.0,0,0,0.0,0.0,10,14,0,0,1,0,1,20
Ramy Bensebaini,31,2026-02-25,Atalanta,Borussia Dortmund,6.6,90,,,0.0,0,0,0.0,0.02,78,95,0,0,2,0,7,128
Ramy Bensebaini,31,2026-02-21,RB Leipzig,Borussia Dortmund,6.8,90,,,0.0,0,0,0.23,0.01,33,47,0,0,0,0,5,73
Ramy Bensebaini,31,2026-02-17,Borussia Dortmund,Atalanta,8.4,90,,,0.0,0,0,0.01,0.05,65,71,0,0,3,0,1,91
Ramy Bensebaini,31,2026-02-13,Borussia Dortmund,1. FSV Mainz 05,7.8,90,,,0.0,1,0,0.33,0.01,68,77,0,0,1,0,4,91
Ramy Bensebaini,31,2026-02-07,VfL Wolfsburg,Borussia Dortmund,,2,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2
Ramy Bensebaini,31,2026-02-01,Borussia Dortmund,1. FC Heidenheim,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
