Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Marvin Friedrich,30,2026-04-04,Borussia M'gladbach,1. FC Heidenheim,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marvin Friedrich,30,2026-03-21,1. FC Köln,Borussia M'gladbach,,2,,,0.0,0,0,0.0,0.06,6,7,0,0,0,0,0,7
Marvin Friedrich,30,2026-03-06,FC Bayern München,Borussia M'gladbach,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marvin Friedrich,30,2026-02-22,SC Freiburg,Borussia M'gladbach,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marvin Friedrich,30,2026-02-14,Eintracht Frankfurt,Borussia M'gladbach,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marvin Friedrich,30,2026-01-31,SV Werder Bremen,Borussia M'gladbach,6.7,21,,,0.0,0,0,0.0,0.0,3,6,0,0,0,0,2,19
Marvin Friedrich,30,2026-01-25,Borussia M'gladbach,VfB Stuttgart,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marvin Friedrich,30,2025-12-05,1. FSV Mainz 05,Borussia M'gladbach,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1
Marvin Friedrich,30,2025-12-02,Borussia M'gladbach,FC St. Pauli,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marvin Friedrich,30,2025-11-28,Borussia M'gladbach,RB Leipzig,6.7,15,,,0.0,0,0,0.0,0.0,5,5,0,0,1,0,1,8
Marvin Friedrich,30,2025-11-22,1. FC Heidenheim,Borussia M'gladbach,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Marvin Friedrich,30,2025-11-08,Borussia M'gladbach,1. FC Köln,6.2,27,,,0.0,0,0,0.0,0.0,1,4,0,0,0,0,0,8
