Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Robin Hack,27,2026-05-09,FC Augsburg,Borussia M'gladbach,6.4,32,,,0.0,0,0,0.08,0.17,11,12,2,0,0,0,1,26
Robin Hack,27,2026-05-03,Borussia M'gladbach,Borussia Dortmund,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2
Robin Hack,27,2026-04-25,VfL Wolfsburg,Borussia M'gladbach,6.4,13,,,0.0,0,0,0.0,0.06,4,4,1,0,0,0,0,10
Robin Hack,27,2026-04-19,Borussia M'gladbach,1. FSV Mainz 05,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Robin Hack,27,2025-11-28,Borussia M'gladbach,RB Leipzig,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Robin Hack,27,2025-11-22,1. FC Heidenheim,Borussia M'gladbach,6.4,8,,,0.0,0,0,0.0,0.01,4,5,0,0,0,0,0,5
Robin Hack,27,2025-09-14,Borussia M'gladbach,SV Werder Bremen,6.0,60,,,0.0,0,0,0.19,0.1,17,22,2,0,0,0,5,40
Robin Hack,27,2025-08-30,VfB Stuttgart,Borussia M'gladbach,6.7,90,,,0.0,0,0,0.21,0.12,33,39,4,0,0,0,5,61
Robin Hack,27,2025-08-24,Borussia M'gladbach,Hamburger SV,7.3,90,,,0.0,0,0,0.06,0.52,26,33,4,0,1,0,2,55
Robin Hack,27,2025-08-17,SV Atlas Delmenhorst,Borussia M'gladbach,9.2,89,,,0.0,2,0,0.0,0.0,26,32,0,0,1,0,0,52
Robin Hack,27,2025-08-08,Brentford,Borussia M'gladbach,6.6,20,,,0.0,0,0,0.0,0.0,5,6,1,0,1,0,2,10
Robin Hack,27,2025-05-17,Borussia M'gladbach,VfL Wolfsburg,7.1,67,,,0.0,0,0,0.1,0.27,28,34,2,0,0,0,1,51
