Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Shuto Machino,26,2026-05-09,FC Augsburg,Borussia M'gladbach,6.3,87,,,0.0,0,0,0.2,0.05,12,16,0,0,0,0,0,25
Shuto Machino,26,2026-05-03,Borussia M'gladbach,Borussia Dortmund,,1,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2
Shuto Machino,26,2026-04-25,VfL Wolfsburg,Borussia M'gladbach,,1,,,0.0,0,0,0.0,0.01,1,2,0,0,0,0,0,4
Shuto Machino,26,2026-04-19,Borussia M'gladbach,1. FSV Mainz 05,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Shuto Machino,26,2026-04-11,RB Leipzig,Borussia M'gladbach,6.5,12,,,0.0,0,0,0.0,0.01,2,2,0,0,0,0,0,3
Shuto Machino,26,2026-04-04,Borussia M'gladbach,1. FC Heidenheim,6.5,85,,,0.0,0,0,0.03,0.04,24,31,1,0,1,0,1,41
Shuto Machino,26,2026-03-31,England,Japan,6.6,10,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,4
Shuto Machino,26,2026-03-28,Scotland,Japan,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Shuto Machino,26,2026-03-21,1. FC Köln,Borussia M'gladbach,,2,,,0.0,0,0,0.0,0.01,0,1,0,0,0,0,0,3
Shuto Machino,26,2026-03-13,Borussia M'gladbach,FC St. Pauli,6.4,15,,,0.0,0,0,0.04,0.17,2,4,0,0,0,0,0,8
Shuto Machino,26,2026-03-06,FC Bayern München,Borussia M'gladbach,6.8,29,,,0.0,0,0,0.32,0.0,5,8,0,0,1,0,2,21
Shuto Machino,26,2026-02-28,Borussia M'gladbach,1. FC Union Berlin,6.7,9,,,0.0,0,0,0.27,0.0,1,2,1,0,0,0,0,6
Shuto Machino,26,2026-02-22,SC Freiburg,Borussia M'gladbach,6.5,28,,,0.0,0,0,0.0,0.01,5,6,1,0,0,0,1,11
Shuto Machino,26,2026-02-14,Eintracht Frankfurt,Borussia M'gladbach,6.7,45,,,0.0,0,0,0.0,0.07,11,11,1,0,0,0,0,15
Shuto Machino,26,2026-02-07,Borussia M'gladbach,Bayer 04 Leverkusen,,2,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,3
