Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jean-Mattéo Bahoya,21,2026-05-08,Borussia Dortmund,Eintracht Frankfurt,6.8,33,,,0.0,0,0,0.08,0.03,9,12,2,0,1,0,2,24
Jean-Mattéo Bahoya,21,2026-05-02,Eintracht Frankfurt,Hamburger SV,6.9,29,,,0.0,0,0,0.02,0.03,12,13,0,0,0,0,1,29
Jean-Mattéo Bahoya,21,2026-03-22,1. FSV Mainz 05,Eintracht Frankfurt,7.0,58,,,0.0,0,0,0.0,0.32,19,27,4,0,0,0,2,41
Jean-Mattéo Bahoya,21,2026-03-14,Eintracht Frankfurt,1. FC Heidenheim,7.7,89,,,0.0,0,0,0.04,0.33,29,35,2,0,2,0,1,65
Jean-Mattéo Bahoya,21,2026-03-08,FC St. Pauli,Eintracht Frankfurt,6.7,90,,,0.0,0,0,0.11,0.31,30,33,1,0,1,0,5,57
Jean-Mattéo Bahoya,21,2026-03-01,Eintracht Frankfurt,SC Freiburg,8.4,90,,,0.0,1,0,0.11,0.04,16,24,1,0,0,0,1,46
Jean-Mattéo Bahoya,21,2026-02-21,FC Bayern München,Eintracht Frankfurt,6.9,90,,,0.0,0,0,0.11,0.08,29,33,1,0,1,0,8,54
Jean-Mattéo Bahoya,21,2026-02-14,Eintracht Frankfurt,Borussia M'gladbach,7.8,90,,,0.0,0,0,0.03,0.31,19,23,5,0,0,0,2,40
Jean-Mattéo Bahoya,21,2026-02-06,1. FC Union Berlin,Eintracht Frankfurt,6.4,23,,,0.0,0,0,0.0,0.0,6,7,0,0,0,0,1,9
Jean-Mattéo Bahoya,21,2026-01-31,Eintracht Frankfurt,Bayer 04 Leverkusen,6.5,12,,,0.0,0,0,0.0,0.0,4,4,0,0,0,0,0,9
Jean-Mattéo Bahoya,21,2026-01-28,Eintracht Frankfurt,Tottenham Hotspur,6.4,11,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1,1
Jean-Mattéo Bahoya,21,2026-01-24,Eintracht Frankfurt,TSG Hoffenheim,6.5,18,,,0.0,0,0,0.04,0.01,9,11,0,0,0,0,3,15
Jean-Mattéo Bahoya,21,2026-01-21,Qarabağ FK,Eintracht Frankfurt,6.7,11,,,0.0,0,0,0.0,0.02,6,8,0,0,0,0,1,13
Jean-Mattéo Bahoya,21,2026-01-16,SV Werder Bremen,Eintracht Frankfurt,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jean-Mattéo Bahoya,21,2026-01-13,VfB Stuttgart,Eintracht Frankfurt,6.5,70,,,0.0,0,0,0.0,0.09,14,18,3,0,3,0,3,29
