Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Nnamdi Collins,22,2026-03-22,1. FSV Mainz 05,Eintracht Frankfurt,6.4,64,,,0.0,0,0,0.2,0.01,45,56,0,0,0,0,2,81
Nnamdi Collins,22,2026-03-14,Eintracht Frankfurt,1. FC Heidenheim,7.9,90,,,0.0,0,0,0.05,0.03,77,88,0,0,1,0,3,107
Nnamdi Collins,22,2026-03-08,FC St. Pauli,Eintracht Frankfurt,7.9,90,,,0.0,0,0,0.0,0.06,104,110,0,0,1,0,3,131
Nnamdi Collins,22,2026-03-01,Eintracht Frankfurt,SC Freiburg,7.5,90,,,0.0,0,0,0.0,0.06,67,72,1,0,0,0,4,83
Nnamdi Collins,22,2026-02-21,FC Bayern München,Eintracht Frankfurt,6.3,90,,,0.0,0,0,0.0,0.01,58,63,0,0,2,0,5,81
Nnamdi Collins,22,2026-02-14,Eintracht Frankfurt,Borussia M'gladbach,7.1,45,,,0.0,0,0,0.0,0.01,22,25,0,0,3,0,2,43
Nnamdi Collins,22,2026-02-06,1. FC Union Berlin,Eintracht Frankfurt,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Nnamdi Collins,22,2026-01-28,Eintracht Frankfurt,Tottenham Hotspur,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Nnamdi Collins,22,2026-01-24,Eintracht Frankfurt,TSG Hoffenheim,6.1,72,,,0.0,0,0,0.0,0.0,31,36,0,0,2,0,3,53
Nnamdi Collins,22,2026-01-21,Qarabağ FK,Eintracht Frankfurt,6.0,85,,,0.0,0,0,0.0,0.01,33,39,0,0,1,0,3,45
Nnamdi Collins,22,2026-01-16,SV Werder Bremen,Eintracht Frankfurt,7.5,90,,,0.0,1,0,0.19,0.01,28,33,0,0,0,0,2,51
Nnamdi Collins,22,2026-01-13,VfB Stuttgart,Eintracht Frankfurt,6.2,13,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,0,10
Nnamdi Collins,22,2026-01-09,Eintracht Frankfurt,Borussia Dortmund,6.3,14,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,1,5
Nnamdi Collins,22,2025-12-20,Hamburger SV,Eintracht Frankfurt,6.4,90,,,0.0,0,0,0.0,0.07,68,80,1,0,2,0,5,98
Nnamdi Collins,22,2025-12-13,Eintracht Frankfurt,FC Augsburg,7.3,90,,,0.0,0,0,0.0,0.02,58,63,0,0,3,0,2,79
