Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Han-Noah Massengo,24,2026-05-09,FC Augsburg,Borussia M'gladbach,6.2,28,,,0.0,0,0,0.0,0.0,6,7,0,0,0,0,2,10
Han-Noah Massengo,24,2026-05-02,SV Werder Bremen,FC Augsburg,6.6,36,,,0.0,0,0,0.0,0.0,10,11,0,0,0,0,1,15
Han-Noah Massengo,24,2026-04-25,FC Augsburg,Eintracht Frankfurt,6.9,73,,,0.0,0,0,0.11,0.01,23,29,0,0,2,0,5,47
Han-Noah Massengo,24,2026-04-18,Bayer 04 Leverkusen,FC Augsburg,7.3,90,,,0.0,0,0,0.02,0.04,27,29,1,0,1,0,4,42
Han-Noah Massengo,24,2026-04-04,Hamburger SV,FC Augsburg,6.6,10,,,0.0,0,0,0.0,0.0,7,7,0,0,0,0,0,7
Han-Noah Massengo,24,2026-03-22,FC Augsburg,VfB Stuttgart,6.4,65,,,0.0,0,0,0.02,0.01,28,32,0,0,0,0,1,38
Han-Noah Massengo,24,2026-03-14,Borussia Dortmund,FC Augsburg,6.2,60,,,0.0,0,0,0.0,0.0,21,25,0,0,2,0,2,32
Han-Noah Massengo,24,2026-03-07,RB Leipzig,FC Augsburg,6.8,90,,,0.0,0,0,0.08,0.01,23,25,0,0,0,0,4,37
Han-Noah Massengo,24,2026-02-27,FC Augsburg,1. FC Köln,6.4,82,,,0.0,0,0,0.0,0.01,33,41,0,0,5,0,7,52
Han-Noah Massengo,24,2026-02-21,VfL Wolfsburg,FC Augsburg,6.4,68,,,0.0,0,0,0.01,0.3,24,29,2,0,1,0,2,38
Han-Noah Massengo,24,2026-02-15,FC Augsburg,1. FC Heidenheim,7.2,90,,,0.0,0,0,0.0,0.03,37,45,0,0,2,0,4,56
Han-Noah Massengo,24,2026-02-07,1. FSV Mainz 05,FC Augsburg,7.0,90,,,0.0,0,0,0.02,0.05,39,45,2,0,2,0,4,64
Han-Noah Massengo,24,2026-01-31,FC Augsburg,FC St. Pauli,7.1,90,,,0.0,0,0,0.0,0.01,32,38,1,0,1,0,10,60
Han-Noah Massengo,24,2026-01-24,FC Bayern München,FC Augsburg,8.0,90,,,0.0,1,0,0.29,0.05,32,38,1,0,3,0,10,50
Han-Noah Massengo,24,2026-01-18,FC Augsburg,SC Freiburg,6.3,88,,,0.0,0,0,0.0,0.01,28,33,0,0,1,0,4,53
