Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Manolis Saliakas,29,2026-04-25,1. FC Heidenheim,FC St. Pauli,6.7,63,,,0.0,0,0,0.04,0.09,19,24,1,0,1,0,2,42
Manolis Saliakas,29,2026-04-17,FC St. Pauli,1. FC Köln,6.5,25,,,0.0,0,0,0.09,0.01,8,15,0,0,0,0,3,24
Manolis Saliakas,29,2026-03-08,FC St. Pauli,Eintracht Frankfurt,6.9,48,,,0.0,0,0,0.0,0.04,8,14,1,0,1,0,4,29
Manolis Saliakas,29,2026-02-28,TSG Hoffenheim,FC St. Pauli,7.5,90,,,0.0,0,0,0.11,0.24,16,21,2,0,0,0,2,49
Manolis Saliakas,29,2026-02-22,FC St. Pauli,SV Werder Bremen,7.1,90,,,0.0,0,0,0.0,0.01,21,29,1,0,1,0,5,54
Manolis Saliakas,29,2026-02-14,Bayer 04 Leverkusen,FC St. Pauli,6.4,82,,,0.0,0,0,0.05,0.02,21,31,1,0,4,0,6,58
Manolis Saliakas,29,2026-02-07,FC St. Pauli,VfB Stuttgart,8.3,90,,,0.0,1,0,0.14,0.28,24,32,1,0,0,0,5,50
Manolis Saliakas,29,2026-02-03,Bayer 04 Leverkusen,FC St. Pauli,6.0,45,,,0.0,0,0,0.0,0.0,22,28,0,0,1,0,7,35
Manolis Saliakas,29,2026-01-31,FC Augsburg,FC St. Pauli,7.1,84,,,0.0,0,0,0.05,0.09,17,29,1,0,2,0,5,51
Manolis Saliakas,29,2026-01-27,FC St. Pauli,RB Leipzig,6.9,87,,,0.0,0,0,0.0,0.02,28,35,0,0,2,0,6,61
Manolis Saliakas,29,2026-01-23,FC St. Pauli,Hamburger SV,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Manolis Saliakas,29,2026-01-17,Borussia Dortmund,FC St. Pauli,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Manolis Saliakas,29,2026-01-14,VfL Wolfsburg,FC St. Pauli,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Manolis Saliakas,29,2025-12-21,1. FSV Mainz 05,FC St. Pauli,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
