Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Tidiam Gomis,19,2026-04-24,RB Leipzig,1. FC Union Berlin,,1,,,0.0,0,0,0.0,0.13,1,1,1,0,0,0,0,3
Tidiam Gomis,19,2026-04-18,Eintracht Frankfurt,RB Leipzig,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tidiam Gomis,19,2026-04-11,RB Leipzig,Borussia M'gladbach,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tidiam Gomis,19,2026-04-04,SV Werder Bremen,RB Leipzig,6.5,12,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,1,7
Tidiam Gomis,19,2026-03-20,RB Leipzig,TSG Hoffenheim,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tidiam Gomis,19,2026-03-15,VfB Stuttgart,RB Leipzig,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tidiam Gomis,19,2026-03-07,RB Leipzig,FC Augsburg,,1,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tidiam Gomis,19,2026-03-01,Hamburger SV,RB Leipzig,6.7,18,,,0.0,0,0,0.0,0.02,5,5,0,0,0,0,1,8
Tidiam Gomis,19,2026-02-21,RB Leipzig,Borussia Dortmund,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tidiam Gomis,19,2026-02-15,RB Leipzig,VfL Wolfsburg,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tidiam Gomis,19,2026-02-11,FC Bayern München,RB Leipzig,6.4,8,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,2
Tidiam Gomis,19,2026-02-08,1. FC Köln,RB Leipzig,6.3,8,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,3
Tidiam Gomis,19,2026-01-31,RB Leipzig,1. FSV Mainz 05,6.3,18,,,0.0,0,0,0.09,0.08,6,7,1,0,0,0,1,16
Tidiam Gomis,19,2026-01-27,FC St. Pauli,RB Leipzig,6.6,10,,,0.0,0,0,0.03,0.01,2,2,0,0,0,0,0,5
Tidiam Gomis,19,2026-01-24,1. FC Heidenheim,RB Leipzig,6.9,19,,,0.0,0,0,0.0,0.01,9,10,0,0,0,0,0,19
