Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Felix Agu,26,2026-04-12,1. FC Köln,SV Werder Bremen,6.8,79,,,0.0,0,0,0.0,0.02,15,18,0,0,1,0,2,33
Felix Agu,26,2026-04-04,SV Werder Bremen,RB Leipzig,6.0,61,,,0.0,0,0,0.0,0.12,27,33,1,0,0,0,7,52
Felix Agu,26,2026-03-21,VfL Wolfsburg,SV Werder Bremen,6.7,29,,,0.0,0,0,0.0,0.0,3,7,0,0,0,0,1,10
Felix Agu,26,2026-03-15,SV Werder Bremen,1. FSV Mainz 05,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Agu,26,2026-02-22,FC St. Pauli,SV Werder Bremen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Agu,26,2026-02-14,SV Werder Bremen,FC Bayern München,7.0,65,,,0.0,0,0,0.05,0.18,8,11,1,0,3,0,7,30
Felix Agu,26,2026-02-07,SC Freiburg,SV Werder Bremen,6.8,28,,,0.0,0,0,0.0,0.04,27,29,0,0,0,0,1,35
Felix Agu,26,2026-01-31,SV Werder Bremen,Borussia M'gladbach,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Felix Agu,26,2025-10-04,SV Werder Bremen,FC St. Pauli,7.3,44,,,0.0,0,0,0.0,0.11,18,22,1,0,2,0,5,35
Felix Agu,26,2025-09-26,FC Bayern München,SV Werder Bremen,6.1,80,,,0.0,0,0,0.0,0.0,16,24,0,0,1,0,2,45
Felix Agu,26,2025-09-20,SV Werder Bremen,SC Freiburg,5.4,90,,,0.0,0,0,0.0,0.01,27,31,0,0,1,0,5,53
Felix Agu,26,2025-09-14,Borussia M'gladbach,SV Werder Bremen,8.6,90,,,0.0,0,0,0.0,0.01,26,30,1,0,2,0,5,57
Felix Agu,26,2025-08-30,SV Werder Bremen,Bayer 04 Leverkusen,6.9,90,,,0.0,0,0,0.0,0.23,31,38,1,0,0,0,4,64
