Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Justin Njinmah,25,2026-05-09,TSG Hoffenheim,SV Werder Bremen,6.4,90,,,0.0,0,0,0.75,0.03,12,16,0,0,0,0,1,33
Justin Njinmah,25,2026-05-02,SV Werder Bremen,FC Augsburg,6.8,45,,,0.0,0,0,0.52,0.06,7,10,0,0,0,0,0,23
Justin Njinmah,25,2026-04-26,VfB Stuttgart,SV Werder Bremen,6.5,25,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,1,9
Justin Njinmah,25,2026-04-18,SV Werder Bremen,Hamburger SV,6.9,89,,,0.0,0,0,0.34,0.08,15,18,2,0,0,0,2,37
Justin Njinmah,25,2026-04-12,1. FC Köln,SV Werder Bremen,7.1,90,,,0.0,0,0,0.01,0.01,10,12,0,0,0,0,1,29
Justin Njinmah,25,2026-04-04,SV Werder Bremen,RB Leipzig,6.4,76,,,0.0,0,0,0.13,0.11,12,14,2,0,0,0,1,22
Justin Njinmah,25,2026-03-21,VfL Wolfsburg,SV Werder Bremen,8.1,85,,,0.0,1,0,0.11,0.04,7,9,1,0,0,0,2,24
Justin Njinmah,25,2026-03-15,SV Werder Bremen,1. FSV Mainz 05,6.7,45,,,0.0,0,0,0.06,0.07,20,21,0,0,0,0,0,30
Justin Njinmah,25,2026-03-08,1. FC Union Berlin,SV Werder Bremen,6.4,8,,,0.0,0,0,0.0,0.01,4,5,1,0,0,0,0,8
Justin Njinmah,25,2026-02-28,SV Werder Bremen,1. FC Heidenheim,6.4,10,,,0.0,0,0,0.24,0.0,2,3,0,0,0,0,0,11
Justin Njinmah,25,2026-02-22,FC St. Pauli,SV Werder Bremen,6.3,90,,,0.0,0,0,0.06,0.07,36,37,2,0,1,0,4,60
Justin Njinmah,25,2026-02-14,SV Werder Bremen,FC Bayern München,6.4,79,,,0.0,0,0,0.05,0.1,10,23,1,0,0,0,5,39
Justin Njinmah,25,2026-02-07,SC Freiburg,SV Werder Bremen,6.6,84,,,0.0,0,0,0.23,0.04,21,28,1,0,1,0,1,45
Justin Njinmah,25,2026-01-31,SV Werder Bremen,Borussia M'gladbach,6.4,64,,,0.0,0,0,0.29,0.02,12,12,0,0,0,0,1,23
Justin Njinmah,25,2026-01-27,SV Werder Bremen,TSG Hoffenheim,6.4,59,,,0.0,0,0,0.09,0.0,6,10,0,0,0,0,1,15
