Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Senne Lynen,27,2026-05-09,TSG Hoffenheim,SV Werder Bremen,7.3,90,,,0.0,0,0,0.03,0.01,18,22,1,0,12,0,7,47
Senne Lynen,27,2026-05-02,SV Werder Bremen,FC Augsburg,7.0,90,,,0.0,0,0,0.0,0.09,103,119,3,0,1,0,11,132
Senne Lynen,27,2026-04-26,VfB Stuttgart,SV Werder Bremen,6.7,90,,,0.0,0,0,0.29,0.01,20,28,0,0,5,0,2,55
Senne Lynen,27,2026-04-18,SV Werder Bremen,Hamburger SV,6.9,90,,,0.0,0,0,0.02,0.03,40,50,0,0,1,0,1,65
Senne Lynen,27,2026-04-12,1. FC Köln,SV Werder Bremen,6.9,90,,,0.0,0,0,0.04,0.01,35,40,0,0,1,0,4,55
Senne Lynen,27,2026-04-04,SV Werder Bremen,RB Leipzig,6.7,90,,,0.0,0,0,0.07,0.03,63,73,1,0,5,0,3,86
Senne Lynen,27,2026-03-08,1. FC Union Berlin,SV Werder Bremen,7.2,90,,,0.0,0,0,0.0,0.04,77,81,0,0,1,0,1,97
Senne Lynen,27,2026-02-28,SV Werder Bremen,1. FC Heidenheim,6.7,90,,,0.0,0,0,0.0,0.04,28,33,1,0,1,0,3,43
Senne Lynen,27,2026-02-22,FC St. Pauli,SV Werder Bremen,6.4,90,,,0.0,0,0,0.0,0.08,87,103,0,0,3,0,4,126
Senne Lynen,27,2026-02-14,SV Werder Bremen,FC Bayern München,5.8,90,,,0.0,0,0,0.0,0.04,34,37,0,0,3,0,6,56
Senne Lynen,27,2026-02-07,SC Freiburg,SV Werder Bremen,6.5,88,,,0.0,0,0,0.04,0.11,37,45,3,0,4,0,4,63
Senne Lynen,27,2026-01-31,SV Werder Bremen,Borussia M'gladbach,6.4,90,,,0.0,0,0,0.08,0.09,62,76,1,0,2,0,6,92
Senne Lynen,27,2026-01-27,SV Werder Bremen,TSG Hoffenheim,7.2,90,,,0.0,0,0,0.08,0.04,75,82,0,0,4,0,6,108
Senne Lynen,27,2026-01-24,Bayer 04 Leverkusen,SV Werder Bremen,7.0,90,,,0.0,0,0,0.03,0.43,64,70,0,0,7,0,3,91
Senne Lynen,27,2026-01-16,SV Werder Bremen,Eintracht Frankfurt,7.0,90,,,0.0,0,0,0.04,0.07,37,42,0,0,2,0,2,53
