Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Kelven Frees ,21,2026-05-02,SSV Jahn Regensburg,TSG Hoffenheim II U23,6.6,90,,,0.0,0,0,0.0,0.0,50,57,1,0,1,0,14,71
Kelven Frees ,21,2026-04-25,TSG Hoffenheim II U23,FC Ingolstadt 04,6.6,77,,,0.0,0,0,0.06,0.0,35,43,0,0,0,0,12,54
Kelven Frees ,21,2026-04-10,TSG Hoffenheim II U23,1. FC Schweinfurt 05,6.4,34,,,0.0,0,0,0.0,0.0,24,27,0,0,0,0,7,34
Kelven Frees ,21,2026-04-07,SV Waldhof Mannheim,TSG Hoffenheim II U23,7.5,90,,,0.0,0,0,0.13,0.0,20,23,0,0,3,0,12,39
Kelven Frees ,21,2026-03-22,TSG Hoffenheim II U23,VfL Osnabrück,6.8,46,,,0.0,0,0,0.0,0.0,48,52,0,0,0,0,8,61
Kelven Frees ,21,2026-03-15,VfB Stuttgart II U21,TSG Hoffenheim II U23,7.3,69,,,0.0,0,0,0.24,0.0,21,24,0,0,1,0,6,37
Kelven Frees ,21,2026-03-07,TSG Hoffenheim II U23,Rot-Weiss Essen,5.8,90,,,0.0,0,0,0.0,0.0,91,102,0,0,2,0,20,117
Kelven Frees ,21,2026-02-22,TSG Hoffenheim II U23,FC Viktoria Köln,6.4,70,,,0.0,0,0,0.0,0.0,44,51,0,0,1,0,13,55
Kelven Frees ,21,2026-02-14,TSG Hoffenheim,SC Freiburg,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Kelven Frees ,21,2026-02-08,FC Bayern München,TSG Hoffenheim,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Kelven Frees ,21,2025-08-30,F.C. Hansa Rostock,TSG Hoffenheim II U23,7.1,64,,,0.0,0,0,0.0,0.0,20,24,0,0,0,0,8,31
Kelven Frees ,21,2025-08-23,TSG Hoffenheim II U23,Energie Cottbus,6.7,90,,,0.0,0,0,0.07,0.0,65,69,0,0,0,0,9,77
Kelven Frees ,21,2025-08-09,Alemannia Aachen,TSG Hoffenheim II U23,7.3,90,,,0.0,1,0,0.05,0.0,56,60,1,0,4,0,15,65
