Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Wouter Burger,25,2026-05-09,TSG Hoffenheim,SV Werder Bremen,7.5,90,,,0.0,0,0,0.18,0.21,72,82,2,0,1,0,7,106
Wouter Burger,25,2026-05-02,TSG Hoffenheim,VfB Stuttgart,7.2,89,,,0.0,0,0,0.26,0.11,22,29,3,0,1,0,4,41
Wouter Burger,25,2026-04-25,Hamburger SV,TSG Hoffenheim,6.6,90,,,0.0,0,0,0.05,0.31,36,48,1,0,0,0,2,66
Wouter Burger,25,2026-04-18,TSG Hoffenheim,Borussia Dortmund,7.3,60,,,0.0,0,0,0.0,0.18,25,32,2,0,1,0,3,51
Wouter Burger,25,2026-04-04,TSG Hoffenheim,1. FSV Mainz 05,6.9,90,,,0.0,0,0,0.02,0.11,52,60,2,0,1,0,5,82
Wouter Burger,25,2026-03-20,RB Leipzig,TSG Hoffenheim,6.9,90,,,0.0,0,0,0.0,0.08,44,52,0,0,0,0,7,65
Wouter Burger,25,2026-03-14,TSG Hoffenheim,VfL Wolfsburg,6.7,90,,,0.0,0,0,0.31,0.09,42,60,0,0,0,0,5,83
Wouter Burger,25,2026-03-07,1. FC Heidenheim,TSG Hoffenheim,7.2,65,,,0.0,0,0,0.0,0.19,21,27,2,0,0,0,3,47
Wouter Burger,25,2026-02-28,TSG Hoffenheim,FC St. Pauli,7.0,62,,,0.0,0,0,0.0,0.2,24,34,1,0,0,0,4,41
Wouter Burger,25,2026-02-21,1. FC Köln,TSG Hoffenheim,6.9,73,,,0.0,0,0,0.0,0.09,27,33,2,0,0,0,6,49
Wouter Burger,25,2026-02-14,TSG Hoffenheim,SC Freiburg,7.8,90,,,0.0,0,0,0.38,0.2,34,45,2,0,0,0,10,74
Wouter Burger,25,2026-01-27,SV Werder Bremen,TSG Hoffenheim,6.3,52,,,0.0,0,0,0.06,0.28,18,23,3,0,0,0,0,36
Wouter Burger,25,2026-01-24,Eintracht Frankfurt,TSG Hoffenheim,7.6,90,,,0.0,0,0,0.33,0.51,38,52,3,0,1,0,8,72
Wouter Burger,25,2026-01-17,TSG Hoffenheim,Bayer 04 Leverkusen,8.1,90,,,0.0,1,0,0.12,0.57,38,50,5,0,1,0,5,67
