Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Dan Zagadou,26,2026-05-09,VfB Stuttgart,Bayer 04 Leverkusen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Dan Zagadou,26,2026-05-02,TSG Hoffenheim,VfB Stuttgart,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Dan Zagadou,26,2026-04-26,VfB Stuttgart,SV Werder Bremen,6.7,45,,,0.0,0,0,0.06,0.03,41,42,0,0,2,0,0,51
Dan Zagadou,26,2026-04-23,VfB Stuttgart,SC Freiburg,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Dan Zagadou,26,2026-04-19,FC Bayern München,VfB Stuttgart,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Dan Zagadou,26,2026-04-12,VfB Stuttgart,Hamburger SV,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Dan Zagadou,26,2025-11-22,Borussia Dortmund,VfB Stuttgart,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Dan Zagadou,26,2025-11-09,VfB Stuttgart,FC Augsburg,9.1,90,,,0.0,0,0,0.06,0.07,78,97,1,0,2,0,6,123
Dan Zagadou,26,2025-11-06,VfB Stuttgart,Feyenoord,6.9,10,,,0.0,0,0,0.0,0.0,12,14,0,0,1,0,0,16
Dan Zagadou,26,2025-10-26,VfB Stuttgart,1. FSV Mainz 05,6.8,75,,,0.0,0,0,0.22,0.02,65,74,0,0,1,0,5,88
Dan Zagadou,26,2025-10-23,Fenerbahçe,VfB Stuttgart,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Dan Zagadou,26,2025-10-18,VfB Stuttgart II U21,1. FC Schweinfurt 05,7.0,74,,,0.0,0,0,0.0,0.0,34,35,0,0,1,0,8,52
Dan Zagadou,26,2025-10-05,TSG Hoffenheim II U23,VfB Stuttgart II U21,7.3,45,,,0.0,1,0,0.11,0.0,33,37,0,0,0,0,3,45
Dan Zagadou,26,2025-10-02,Basel,VfB Stuttgart,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
