Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Kenny Prince Redondo,31,2026-05-17,1. FC Magdeburg,1. FC Kaiserslautern,2. Bundesliga,6.6,8,,0,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,2,M,MC
Kenny Prince Redondo,31,2026-05-08,1. FC Kaiserslautern,Arminia Bielefeld,2. Bundesliga,6.5,10,,0,0.0,0,0,0.0,0.01,1,2,0,0,0,0,1,8,M,MC
Kenny Prince Redondo,31,2026-04-24,1. FC Kaiserslautern,Eintracht Braunschweig,2. Bundesliga,6.5,45,,0,0.0,0,0,0.03,0.01,21,23,0,0,1,0,2,35,M,MC
Kenny Prince Redondo,31,2026-04-17,Holstein Kiel,1. FC Kaiserslautern,2. Bundesliga,6.5,26,,0,0.0,0,0,0.0,0.0,5,6,0,0,2,0,2,12,M,MC
Kenny Prince Redondo,31,2026-04-11,Hertha BSC,1. FC Kaiserslautern,2. Bundesliga,6.5,66,,0,0.0,0,0,0.0,0.04,8,12,0,0,1,0,0,27,M,MC
Kenny Prince Redondo,31,2026-04-04,1. FC Kaiserslautern,Fortuna Düsseldorf,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,M,MC
Kenny Prince Redondo,31,2026-03-21,1. FC Nürnberg,1. FC Kaiserslautern,2. Bundesliga,6.2,34,,0,0.0,0,0,0.0,0.0,13,20,0,0,0,0,1,33,M,MC
Kenny Prince Redondo,31,2026-03-15,1. FC Kaiserslautern,Karlsruher SC,2. Bundesliga,6.7,19,,0,0.0,0,0,0.0,0.0,3,6,0,0,0,0,3,15,M,MC
Kenny Prince Redondo,31,2026-03-07,VfL Bochum 1848,1. FC Kaiserslautern,2. Bundesliga,6.6,76,,0,0.0,0,0,0.2,0.04,19,27,1,0,2,0,5,33,M,MC
Kenny Prince Redondo,31,2026-02-28,1. FC Kaiserslautern,SC Paderborn 07,2. Bundesliga,7.4,14,,0,0.0,1,0,0.15,0.0,5,10,0,0,0,0,0,18,M,MC
Kenny Prince Redondo,31,2026-02-22,Preußen Münster,1. FC Kaiserslautern,2. Bundesliga,5.9,23,,0,0.0,0,0,0.62,0.0,7,8,0,0,0,0,2,15,M,MC
Kenny Prince Redondo,31,2026-02-14,1. FC Kaiserslautern,SpVgg Greuther Fürth,2. Bundesliga,6.1,24,,0,0.0,0,0,0.0,0.01,4,9,0,0,0,0,2,13,M,MC
Kenny Prince Redondo,31,2026-02-07,Darmstadt 98,1. FC Kaiserslautern,2. Bundesliga,7.0,33,,0,0.0,0,0,0.0,0.3,8,9,3,0,1,0,0,20,M,MC
Kenny Prince Redondo,31,2026-01-31,1. FC Kaiserslautern,SV 07 Elversberg,2. Bundesliga,6.3,25,,0,0.0,0,0,0.0,0.0,5,7,0,0,0,0,1,17,M,MC
Kenny Prince Redondo,31,2026-01-25,FC Schalke 04,1. FC Kaiserslautern,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,M,MC
