Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Kenan Karaman,32,2026-05-17,FC Schalke 04,Eintracht Braunschweig,2. Bundesliga,7.0,90,,0,0.0,0,0,0.1,0.03,28,42,1,0,0,0,1,54,F,ATT
Kenan Karaman,32,2026-05-09,1. FC Nürnberg,FC Schalke 04,2. Bundesliga,6.6,90,,0,0.0,0,0,0.43,0.08,17,29,2,0,0,0,4,47,F,ATT
Kenan Karaman,32,2026-05-02,FC Schalke 04,Fortuna Düsseldorf,2. Bundesliga,7.6,90,,0,0.0,1,0,0.92,0.01,17,35,0,0,0,0,1,49,F,ATT
Kenan Karaman,32,2026-04-26,SC Paderborn 07,FC Schalke 04,2. Bundesliga,6.8,90,,0,0.0,0,0,0.0,0.26,16,27,1,0,1,0,3,51,F,ATT
Kenan Karaman,32,2026-04-19,FC Schalke 04,Preußen Münster,2. Bundesliga,8.1,71,,0,0.0,1,0,0.4,0.57,17,25,2,0,0,0,2,36,F,ATT
Kenan Karaman,32,2026-04-05,FC Schalke 04,Karlsruher SC,2. Bundesliga,6.9,77,,0,0.0,1,0,0.49,0.04,18,26,0,0,0,0,0,43,F,ATT
Kenan Karaman,32,2026-03-21,Darmstadt 98,FC Schalke 04,2. Bundesliga,5.8,90,,0,0.0,0,0,0.22,0.02,18,23,1,0,0,0,1,34,F,ATT
Kenan Karaman,32,2026-03-15,FC Schalke 04,Hannover 96,2. Bundesliga,7.9,71,,0,0.0,1,0,0.26,0.12,19,29,1,0,0,0,1,43,F,ATT
Kenan Karaman,32,2026-03-06,FC Schalke 04,Arminia Bielefeld,2. Bundesliga,6.1,89,,0,0.0,0,0,0.53,0.05,12,16,2,0,0,0,5,31,F,ATT
Kenan Karaman,32,2026-02-28,SpVgg Greuther Fürth,FC Schalke 04,2. Bundesliga,6.1,90,,0,0.0,0,0,0.48,0.02,11,18,1,0,0,0,1,28,F,ATT
Kenan Karaman,32,2026-02-21,FC Schalke 04,1. FC Magdeburg,2. Bundesliga,8.4,90,,0,0.0,2,0,1.35,0.16,23,31,3,0,0,0,6,40,F,ATT
Kenan Karaman,32,2026-02-15,Holstein Kiel,FC Schalke 04,2. Bundesliga,6.8,85,,0,0.0,1,0,0.8,0.04,14,18,1,0,0,0,2,38,F,ATT
Kenan Karaman,32,2026-02-07,FC Schalke 04,SG Dynamo Dresden,2. Bundesliga,6.3,90,,0,0.0,0,0,0.18,0.07,23,31,0,0,0,0,3,42,F,ATT
Kenan Karaman,32,2026-01-31,VfL Bochum 1848,FC Schalke 04,2. Bundesliga,6.6,90,,0,0.0,0,0,0.3,0.3,23,29,1,0,0,0,6,47,F,ATT
Kenan Karaman,32,2026-01-25,FC Schalke 04,1. FC Kaiserslautern,2. Bundesliga,6.9,90,,0,0.0,1,0,0.36,0.02,16,21,0,0,0,0,2,31,F,ATT
