Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Emmanuel Iyoha,28,2026-05-17,SpVgg Greuther Fürth,Fortuna Düsseldorf,2. Bundesliga,7.2,90,,0,0.0,0,0,0.0,0.14,28,34,2,0,1,0,3,68,M,MC
Emmanuel Iyoha,28,2026-05-10,Fortuna Düsseldorf,SV 07 Elversberg,2. Bundesliga,6.7,90,,0,0.0,0,0,0.18,0.01,22,30,1,0,2,0,6,54,M,MC
Emmanuel Iyoha,28,2026-05-02,FC Schalke 04,Fortuna Düsseldorf,2. Bundesliga,6.3,90,,0,0.0,0,0,0.0,0.01,34,46,0,0,0,0,8,71,M,MC
Emmanuel Iyoha,28,2026-04-24,Fortuna Düsseldorf,SG Dynamo Dresden,2. Bundesliga,7.8,73,,0,0.0,1,0,0.08,0.02,13,18,1,0,1,0,1,35,M,MC
Emmanuel Iyoha,28,2026-04-18,1. FC Magdeburg,Fortuna Düsseldorf,2. Bundesliga,6.9,90,,0,0.0,0,0,0.15,0.04,38,43,0,0,1,0,3,75,M,MC
Emmanuel Iyoha,28,2026-03-14,Eintracht Braunschweig,Fortuna Düsseldorf,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,M,MC
Emmanuel Iyoha,28,2026-03-07,1. FC Nürnberg,Fortuna Düsseldorf,2. Bundesliga,6.8,84,,0,0.0,0,0,0.0,0.18,25,34,3,0,2,0,7,54,M,MC
Emmanuel Iyoha,28,2026-02-27,Fortuna Düsseldorf,VfL Bochum 1848,2. Bundesliga,7.2,86,,0,0.0,0,0,0.13,0.22,19,21,2,0,1,0,5,45,M,MC
Emmanuel Iyoha,28,2026-02-21,Darmstadt 98,Fortuna Düsseldorf,2. Bundesliga,6.6,90,,0,0.0,0,0,0.38,0.03,18,25,1,0,0,0,4,50,M,MC
Emmanuel Iyoha,28,2026-02-13,Fortuna Düsseldorf,Preußen Münster,2. Bundesliga,6.3,28,,0,0.0,0,0,0.0,0.04,2,5,1,0,0,0,0,15,M,MC
Emmanuel Iyoha,28,2026-02-08,Karlsruher SC,Fortuna Düsseldorf,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,M,MC
Emmanuel Iyoha,28,2026-02-01,Fortuna Düsseldorf,SC Paderborn 07,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,M,MC
Emmanuel Iyoha,28,2026-01-24,Hannover 96,Fortuna Düsseldorf,2. Bundesliga,6.5,64,,0,0.0,0,0,0.04,0.03,16,24,0,0,1,0,4,43,M,MC
Emmanuel Iyoha,28,2026-01-16,Fortuna Düsseldorf,Arminia Bielefeld,2. Bundesliga,7.9,81,,0,0.0,0,0,0.02,0.52,26,35,1,0,0,0,4,55,M,MC
