Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Satoshi Tanaka,23,2026-05-17,SpVgg Greuther Fürth,Fortuna Düsseldorf,2. Bundesliga,6.8,45,,0,0.0,0,0,0.0,0.01,17,20,0,0,2,0,1,29,M,MC
Satoshi Tanaka,23,2026-04-18,1. FC Magdeburg,Fortuna Düsseldorf,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,M,MC
Satoshi Tanaka,23,2026-04-10,Fortuna Düsseldorf,Holstein Kiel,2. Bundesliga,7.1,90,,0,0.0,0,0,0.05,0.05,39,47,1,0,4,0,7,61,M,MC
Satoshi Tanaka,23,2026-04-04,1. FC Kaiserslautern,Fortuna Düsseldorf,2. Bundesliga,6.6,83,,0,0.0,0,0,0.0,0.02,21,27,1,0,2,0,7,37,M,MC
Satoshi Tanaka,23,2026-03-22,Fortuna Düsseldorf,Hertha BSC,2. Bundesliga,6.7,90,,0,0.0,0,0,0.03,0.02,37,44,0,0,2,0,4,55,M,MC
Satoshi Tanaka,23,2026-03-14,Eintracht Braunschweig,Fortuna Düsseldorf,2. Bundesliga,6.2,90,,0,0.0,0,0,0.0,0.01,17,25,0,0,0,0,3,35,M,MC
Satoshi Tanaka,23,2026-03-07,1. FC Nürnberg,Fortuna Düsseldorf,2. Bundesliga,7.4,90,,0,0.0,0,0,0.12,0.0,19,20,0,0,3,0,3,36,M,MC
Satoshi Tanaka,23,2026-02-27,Fortuna Düsseldorf,VfL Bochum 1848,2. Bundesliga,7.1,90,,0,0.0,0,0,0.0,0.01,21,28,0,0,2,0,2,40,M,MC
Satoshi Tanaka,23,2026-02-21,Darmstadt 98,Fortuna Düsseldorf,2. Bundesliga,6.7,82,,0,0.0,0,0,0.0,0.02,20,26,0,0,2,0,6,34,M,MC
Satoshi Tanaka,23,2026-02-13,Fortuna Düsseldorf,Preußen Münster,2. Bundesliga,6.7,90,,0,0.0,0,0,0.0,0.01,17,24,0,0,3,0,4,36,M,MC
Satoshi Tanaka,23,2026-02-08,Karlsruher SC,Fortuna Düsseldorf,2. Bundesliga,7.0,90,,0,0.0,0,0,0.18,0.13,27,40,0,0,1,0,8,55,M,MC
Satoshi Tanaka,23,2026-02-01,Fortuna Düsseldorf,SC Paderborn 07,2. Bundesliga,8.1,90,,0,0.0,0,0,0.08,0.11,46,50,1,0,1,0,1,70,M,MC
Satoshi Tanaka,23,2026-01-24,Hannover 96,Fortuna Düsseldorf,2. Bundesliga,7.0,90,,0,0.0,0,0,0.0,0.04,28,34,1,0,4,0,8,62,M,MC
Satoshi Tanaka,23,2026-01-16,Fortuna Düsseldorf,Arminia Bielefeld,2. Bundesliga,7.3,89,,0,0.0,0,0,0.05,0.03,35,45,0,0,2,0,2,58,M,MC
