Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Dženis Burnić,28,2026-06-18,Switzerland,Bosnia & Herzegovina,"FIFA World Cup, Group B",,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,M,MC
Dženis Burnić,28,2026-06-12,Canada,Bosnia & Herzegovina,"FIFA World Cup, Group B",6.7,13,,0,0.0,0,0,0.01,0.01,2,2,0,0,0,0,0,5,M,MC
Dženis Burnić,28,2026-05-17,Karlsruher SC,VfL Bochum 1848,2. Bundesliga,6.3,75,,0,0.0,0,0,0.0,0.04,41,48,0,0,0,0,3,52,M,MC
Dženis Burnić,28,2026-05-08,SC Paderborn 07,Karlsruher SC,2. Bundesliga,6.4,17,,0,0.0,0,0,0.0,0.0,4,6,0,0,0,0,2,8,M,MC
Dženis Burnić,28,2026-05-03,Karlsruher SC,Darmstadt 98,2. Bundesliga,6.5,13,,0,0.0,0,0,0.15,0.03,10,11,1,0,0,0,1,13,M,MC
Dženis Burnić,28,2026-04-25,Karlsruher SC,Hannover 96,2. Bundesliga,6.7,10,,0,0.0,0,0,0.0,0.17,17,18,0,0,0,0,0,21,M,MC
Dženis Burnić,28,2026-04-17,SV 07 Elversberg,Karlsruher SC,2. Bundesliga,6.4,73,,0,0.0,0,0,0.0,0.02,42,49,0,0,0,0,1,63,M,MC
Dženis Burnić,28,2026-04-10,Karlsruher SC,Arminia Bielefeld,2. Bundesliga,6.8,90,,0,0.0,0,0,0.0,0.03,20,25,1,0,2,0,6,36,M,MC
Dženis Burnić,28,2026-04-05,FC Schalke 04,Karlsruher SC,2. Bundesliga,6.4,64,,0,0.0,0,0,0.15,0.01,12,16,0,0,0,0,2,25,M,MC
Dženis Burnić,28,2026-03-31,Bosnia & Herzegovina,Italy,World Cup Qual. UEFA Playoffs,6.9,49,,0,0.0,0,0,0.0,0.0,23,24,1,0,0,0,2,36,M,MC
Dženis Burnić,28,2026-03-26,Wales,Bosnia & Herzegovina,World Cup Qual. UEFA Playoffs,6.7,46,,0,0.0,0,0,0.0,0.0,7,12,1,0,2,0,2,28,M,MC
Dženis Burnić,28,2026-03-20,Karlsruher SC,SpVgg Greuther Fürth,2. Bundesliga,6.9,90,,0,0.0,0,0,0.0,0.46,28,34,2,0,2,0,8,62,M,MC
Dženis Burnić,28,2026-03-15,1. FC Kaiserslautern,Karlsruher SC,2. Bundesliga,6.0,59,,0,0.0,0,0,0.05,0.08,21,27,1,0,0,0,1,35,M,MC
