Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Joshua Mees,30,2026-05-17,SV 07 Elversberg,Preußen Münster,2. Bundesliga,6.0,74,,0,0.0,0,0,0.14,0.0,9,14,0,0,0,0,0,26,M,MC
Joshua Mees,30,2026-04-25,Preußen Münster,Arminia Bielefeld,2. Bundesliga,6.4,45,,0,0.0,0,0,0.11,0.16,5,5,2,0,0,0,2,11,M,MC
Joshua Mees,30,2026-04-11,Preußen Münster,SpVgg Greuther Fürth,2. Bundesliga,6.5,68,,0,0.0,0,0,0.27,0.0,7,9,0,0,0,0,1,19,M,MC
Joshua Mees,30,2026-04-05,Holstein Kiel,Preußen Münster,2. Bundesliga,6.9,65,,0,0.0,0,0,0.0,0.09,2,5,1,0,1,0,2,17,M,MC
Joshua Mees,30,2026-03-22,Preußen Münster,1. FC Magdeburg,2. Bundesliga,7.4,65,,0,0.0,0,0,0.0,0.01,9,14,0,0,0,0,0,22,M,MC
Joshua Mees,30,2026-03-15,SG Dynamo Dresden,Preußen Münster,2. Bundesliga,5.7,45,,0,0.0,0,0,0.13,0.0,9,14,0,0,1,0,3,27,M,MC
Joshua Mees,30,2026-03-08,Preußen Münster,Hertha BSC,2. Bundesliga,6.4,45,,0,0.0,0,0,0.0,0.01,7,11,1,0,0,0,3,16,M,MC
Joshua Mees,30,2025-12-21,Preußen Münster,SV 07 Elversberg,2. Bundesliga,6.2,73,,0,0.0,0,0,0.1,0.01,11,15,1,0,0,0,4,29,M,MC
Joshua Mees,30,2025-12-14,Darmstadt 98,Preußen Münster,2. Bundesliga,6.3,79,,0,0.0,0,0,0.3,0.32,10,11,1,0,0,0,1,36,M,MC
Joshua Mees,30,2025-12-05,Preußen Münster,Hannover 96,2. Bundesliga,6.5,62,,0,0.0,0,0,0.08,0.02,16,21,0,0,0,0,3,31,M,MC
Joshua Mees,30,2025-11-30,Arminia Bielefeld,Preußen Münster,2. Bundesliga,6.5,45,,0,0.0,0,0,0.03,0.01,6,9,1,0,0,0,4,18,M,MC
Joshua Mees,30,2025-11-22,Preußen Münster,FC Schalke 04,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,M,MC
Joshua Mees,30,2025-09-14,Preußen Münster,Fortuna Düsseldorf,2. Bundesliga,6.6,55,,0,0.0,0,0,0.0,0.01,26,29,0,0,0,0,3,44,M,MC
Joshua Mees,30,2025-08-30,VfL Bochum 1848,Preußen Münster,2. Bundesliga,9.0,80,,0,0.0,2,0,0.07,0.03,21,25,1,0,0,0,2,41,M,MC
Joshua Mees,30,2025-08-22,Preußen Münster,1. FC Nürnberg,2. Bundesliga,6.5,60,,0,0.0,0,0,0.05,0.01,12,15,0,0,1,0,2,28,M,MC
