Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Jonah Sticker,22,2026-05-21,VfL Wolfsburg,SC Paderborn 07,"Bundesliga, Relegation/Promotion Playoffs",6.6,90,,0,0.0,0,0,0.0,0.0,13,17,0,0,1,0,5,44,D,CB
Jonah Sticker,22,2026-05-17,Darmstadt 98,SC Paderborn 07,2. Bundesliga,7.8,89,,0,0.0,0,0,0.0,0.07,23,28,1,0,0,0,2,50,D,CB
Jonah Sticker,22,2026-05-08,SC Paderborn 07,Karlsruher SC,2. Bundesliga,7.4,83,,0,0.0,0,0,0.0,0.29,36,38,0,0,0,0,4,56,D,CB
Jonah Sticker,22,2026-05-03,SV 07 Elversberg,SC Paderborn 07,2. Bundesliga,5.6,90,,0,0.0,0,0,0.02,0.01,29,35,0,0,0,0,6,53,D,CB
Jonah Sticker,22,2026-04-26,SC Paderborn 07,FC Schalke 04,2. Bundesliga,6.6,85,,0,0.0,0,0,0.0,0.01,18,26,0,0,2,0,3,51,D,CB
Jonah Sticker,22,2026-04-18,Hannover 96,SC Paderborn 07,2. Bundesliga,6.5,45,,0,0.0,0,0,0.04,0.26,8,12,1,0,0,0,2,25,D,CB
Jonah Sticker,22,2026-04-12,SC Paderborn 07,1. FC Magdeburg,2. Bundesliga,6.8,18,,0,0.0,0,0,0.0,0.03,1,5,1,0,0,0,0,10,D,CB
Jonah Sticker,22,2026-04-05,SpVgg Greuther Fürth,SC Paderborn 07,2. Bundesliga,6.9,9,,0,0.0,0,0,0.0,0.0,2,4,0,0,1,0,0,9,D,CB
Jonah Sticker,22,2026-03-21,SC Paderborn 07,SG Dynamo Dresden,2. Bundesliga,,1,,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,D,CB
Jonah Sticker,22,2026-03-14,Arminia Bielefeld,SC Paderborn 07,2. Bundesliga,6.3,14,,0,0.0,0,0,0.0,0.01,3,5,0,0,0,0,2,9,D,CB
Jonah Sticker,22,2026-03-07,SC Paderborn 07,Eintracht Braunschweig,2. Bundesliga,7.4,73,,0,0.0,0,0,0.0,0.42,15,35,1,0,0,0,3,51,D,CB
Jonah Sticker,22,2026-02-28,1. FC Kaiserslautern,SC Paderborn 07,2. Bundesliga,,1,,0,0.0,0,0,0.46,0.0,0,0,0,0,0,0,0,1,D,CB
Jonah Sticker,22,2026-02-22,SC Paderborn 07,Hertha BSC,2. Bundesliga,6.6,12,,0,0.0,0,0,0.0,0.0,3,3,0,0,0,0,1,3,D,CB
Jonah Sticker,22,2026-02-15,VfL Bochum 1848,SC Paderborn 07,2. Bundesliga,6.7,64,,0,0.0,0,0,0.0,0.0,20,23,0,0,2,0,0,37,D,CB
Jonah Sticker,22,2026-02-07,SC Paderborn 07,1. FC Nürnberg,2. Bundesliga,7.5,90,,0,0.0,0,0,0.04,0.05,42,43,1,0,3,0,8,71,D,CB
