Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Mohammad Mahmoud,21,2025-03-15,FC Zürich,FC Luzern,Swiss Super League,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Mohammad Mahmoud,21,2025-03-09,FC Zürich,Servette FC,Swiss Super League,6.5,9,,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2,F,ATT
Mohammad Mahmoud,21,2025-03-02,FC Lugano,FC Zürich,Swiss Super League,6.8,11,,0,0.0,0,0,0.0,0.0,0,2,0,0,0,0,0,6,F,ATT
Mohammad Mahmoud,21,2025-02-22,FC Zürich,Yverdon-Sport FC,Swiss Super League,6.6,8,,0,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,4,F,ATT
Mohammad Mahmoud,21,2025-01-31,SV 07 Elversberg,Karlsruher SC,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Mohammad Mahmoud,21,2025-01-19,SV 07 Elversberg,1. FC Magdeburg,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Mohammad Mahmoud,21,2024-12-20,SV 07 Elversberg,FC Schalke 04,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Mohammad Mahmoud,21,2024-12-06,SV 07 Elversberg,1. FC Nürnberg,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Mohammad Mahmoud,21,2024-11-30,SV 07 Elversberg,SC Paderborn 07,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Mohammad Mahmoud,21,2024-11-23,Fortuna Düsseldorf,SV 07 Elversberg,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Mohammad Mahmoud,21,2024-11-10,SV 07 Elversberg,Hannover 96,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,F,ATT
Mohammad Mahmoud,21,2024-11-02,SSV Jahn Regensburg,SV 07 Elversberg,2. Bundesliga,7.0,16,,0,0.0,0,0,0.0,0.0,2,3,0,0,0,0,0,8,F,ATT
