Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Tom Zimmerschied,27,2026-05-17,SV 07 Elversberg,Preußen Münster,2. Bundesliga,7.8,88,,0,0.0,0,0,0.0,0.89,23,30,4,0,0,0,6,45,M,MC
Tom Zimmerschied,27,2026-05-10,Fortuna Düsseldorf,SV 07 Elversberg,2. Bundesliga,6.3,88,,0,0.0,0,0,0.07,0.06,24,33,2,0,0,0,2,51,M,MC
Tom Zimmerschied,27,2026-05-03,SV 07 Elversberg,SC Paderborn 07,2. Bundesliga,6.3,85,,0,0.0,0,0,0.0,0.03,11,20,2,0,2,0,3,33,M,MC
Tom Zimmerschied,27,2026-04-25,Darmstadt 98,SV 07 Elversberg,2. Bundesliga,7.5,90,,0,0.0,1,0,0.12,0.35,17,26,5,0,0,0,2,49,M,MC
Tom Zimmerschied,27,2026-04-17,SV 07 Elversberg,Karlsruher SC,2. Bundesliga,7.7,90,,0,0.0,1,0,0.52,0.36,27,34,4,0,0,0,1,48,M,MC
Tom Zimmerschied,27,2026-04-12,SV 07 Elversberg,FC Schalke 04,2. Bundesliga,7.0,90,,0,0.0,0,0,0.37,0.56,21,27,6,0,0,0,2,54,M,MC
Tom Zimmerschied,27,2026-04-05,Hannover 96,SV 07 Elversberg,2. Bundesliga,6.6,89,,0,0.0,0,0,0.09,0.11,20,25,3,0,0,0,5,44,M,MC
Tom Zimmerschied,27,2026-03-21,SV 07 Elversberg,Arminia Bielefeld,2. Bundesliga,7.4,90,,0,0.0,0,0,1.68,0.39,23,29,5,0,0,0,2,59,M,MC
Tom Zimmerschied,27,2026-03-13,SpVgg Greuther Fürth,SV 07 Elversberg,2. Bundesliga,6.6,60,,0,0.0,0,0,0.0,0.05,16,19,1,0,0,0,0,34,M,MC
Tom Zimmerschied,27,2026-03-06,SV 07 Elversberg,1. FC Magdeburg,2. Bundesliga,7.1,90,,0,0.0,0,0,0.0,0.32,26,31,3,0,3,0,3,53,M,MC
Tom Zimmerschied,27,2026-02-28,Holstein Kiel,SV 07 Elversberg,2. Bundesliga,6.4,89,,0,0.0,0,0,0.0,0.12,25,29,2,0,0,0,1,50,M,MC
Tom Zimmerschied,27,2026-02-21,SV 07 Elversberg,Eintracht Braunschweig,2. Bundesliga,7.4,90,,0,0.0,0,0,0.14,0.32,22,31,1,0,1,0,0,59,M,MC
Tom Zimmerschied,27,2026-02-14,SG Dynamo Dresden,SV 07 Elversberg,2. Bundesliga,6.7,82,,0,0.0,0,0,0.04,0.17,26,33,2,0,2,0,3,51,M,MC
Tom Zimmerschied,27,2026-02-07,SV 07 Elversberg,Hertha BSC,2. Bundesliga,7.0,89,,0,0.0,0,0,0.17,1.26,31,40,6,0,0,0,2,64,M,MC
