Nom,Age,Match_Date,Home_Team,Away_Team,Tournament,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Position_SofaScore,Poste_Cat
Kevin Vogt,34,2026-05-17,Karlsruher SC,VfL Bochum 1848,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,D,CB
Kevin Vogt,34,2026-05-09,VfL Bochum 1848,Hannover 96,2. Bundesliga,7.0,15,,0,0.0,0,0,0.12,0.0,1,1,0,0,0,0,0,4,D,CB
Kevin Vogt,34,2026-05-02,Arminia Bielefeld,VfL Bochum 1848,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,D,CB
Kevin Vogt,34,2026-04-26,VfL Bochum 1848,SpVgg Greuther Fürth,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,D,CB
Kevin Vogt,34,2026-04-18,SG Dynamo Dresden,VfL Bochum 1848,2. Bundesliga,6.7,14,,0,0.0,0,0,0.0,0.0,18,20,0,0,0,0,3,21,D,CB
Kevin Vogt,34,2026-03-14,Hertha BSC,VfL Bochum 1848,2. Bundesliga,6.8,45,,0,0.0,0,0,0.0,0.0,38,39,0,0,0,0,5,46,D,CB
Kevin Vogt,34,2026-03-07,VfL Bochum 1848,1. FC Kaiserslautern,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,D,CB
Kevin Vogt,34,2026-02-20,VfL Bochum 1848,1. FC Nürnberg,2. Bundesliga,,0,,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,D,CB
Kevin Vogt,34,2025-09-27,VfL Bochum 1848,Fortuna Düsseldorf,2. Bundesliga,7.8,90,,0,0.0,0,0,0.0,0.16,82,87,0,0,1,0,5,98,D,CB
Kevin Vogt,34,2025-09-20,1. FC Nürnberg,VfL Bochum 1848,2. Bundesliga,7.1,60,,0,0.0,0,0,0.0,0.09,18,20,1,0,0,0,1,34,D,CB
Kevin Vogt,34,2025-09-12,SC Paderborn 07,VfL Bochum 1848,2. Bundesliga,7.5,45,,0,0.0,0,0,0.0,0.0,11,11,0,0,0,0,1,25,D,CB
Kevin Vogt,34,2025-08-30,VfL Bochum 1848,Preußen Münster,2. Bundesliga,7.2,90,,0,0.0,0,0,0.0,0.03,64,65,0,0,0,0,4,70,D,CB
Kevin Vogt,34,2025-08-23,FC Schalke 04,VfL Bochum 1848,2. Bundesliga,6.2,90,,0,0.0,0,0,0.79,0.33,36,44,1,0,0,0,3,51,D,CB
