Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Andri Guðjohnsen,24,2026-03-07,Blackburn Rovers,Portsmouth,6.6,27,,,0.0,0,0,0.0,0.03,3,5,0,0,0,0,1,9
Andri Guðjohnsen,24,2026-02-28,Derby County,Blackburn Rovers,6.0,69,,,0.0,0,0,0.24,0.01,9,14,0,0,0,0,2,20
Andri Guðjohnsen,24,2026-02-24,Blackburn Rovers,Bristol City,6.5,23,,,0.0,0,0,0.0,0.1,2,4,2,0,0,0,0,6
Andri Guðjohnsen,24,2026-02-20,Blackburn Rovers,Preston North End,6.0,68,,,0.0,0,0,0.0,0.01,13,19,1,0,0,0,2,28
Andri Guðjohnsen,24,2026-02-14,Queens Park Rangers,Blackburn Rovers,5.8,74,,,0.0,0,0,0.0,0.0,12,17,0,0,0,0,3,29
Andri Guðjohnsen,24,2026-02-07,Norwich City,Blackburn Rovers,6.5,14,,,0.0,0,0,0.0,0.0,1,3,0,0,0,0,0,7
Andri Guðjohnsen,24,2026-02-03,Blackburn Rovers,Sheffield Wednesday,6.4,28,,,0.0,0,0,0.27,0.0,8,11,0,0,0,0,4,19
Andri Guðjohnsen,24,2026-01-31,Blackburn Rovers,Hull City,6.7,24,,,0.0,0,0,0.0,0.01,8,11,0,0,0,0,1,13
Andri Guðjohnsen,24,2025-12-20,Blackburn Rovers,Millwall,6.4,66,,,0.0,1,0,0.68,0.01,7,14,0,0,1,0,0,24
Andri Guðjohnsen,24,2025-12-13,Portsmouth,Blackburn Rovers,6.5,84,,,0.0,0,0,0.14,0.37,14,20,2,0,0,0,3,30
Andri Guðjohnsen,24,2025-12-09,Blackburn Rovers,Oxford United,6.6,90,,,0.0,0,0,0.06,0.18,18,26,1,0,0,0,3,33
Andri Guðjohnsen,24,2025-12-02,Blackburn Rovers,Ipswich Town,7.1,78,,,0.0,1,0,0.8,0.04,14,21,0,0,0,0,2,27
Andri Guðjohnsen,24,2025-11-29,Wrexham,Blackburn Rovers,7.1,70,,,0.0,1,0,0.39,0.06,13,19,1,0,0,0,4,31
Andri Guðjohnsen,24,2025-11-26,Blackburn Rovers,Queens Park Rangers,6.1,73,,,0.0,0,0,0.64,0.0,2,10,0,0,0,0,2,19
Andri Guðjohnsen,24,2025-11-21,Preston North End,Blackburn Rovers,7.1,84,,,0.0,1,0,0.25,0.01,20,25,0,0,0,0,3,37
