Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Scott Twine,26,2026-05-02,Bristol City,Stoke City,6.9,90,,,0.0,0,0,0.4,0.03,19,29,1,0,1,0,4,49
Scott Twine,26,2026-04-25,Birmingham City,Bristol City,6.5,90,,,0.0,0,0,0.21,0.1,25,32,0,0,0,0,8,48
Scott Twine,26,2026-04-21,Southampton,Bristol City,6.5,90,,,0.0,0,0,0.0,0.2,12,23,2,0,1,0,6,43
Scott Twine,26,2026-04-18,Bristol City,Norwich City,6.8,65,,,0.0,0,0,0.74,0.07,16,17,1,0,0,0,0,30
Scott Twine,26,2026-04-11,Queens Park Rangers,Bristol City,6.8,88,,,0.0,0,0,0.12,0.02,22,26,1,0,2,0,3,38
Scott Twine,26,2026-04-06,Bristol City,Sheffield United,6.6,89,,,0.0,0,0,0.0,0.25,20,24,3,0,0,0,1,30
Scott Twine,26,2026-04-03,Charlton Athletic,Bristol City,8.6,90,,,0.0,1,0,1.07,0.03,20,25,2,0,0,0,5,54
Scott Twine,26,2026-03-21,Bristol City,West Bromwich Albion,6.5,45,,,0.0,0,0,0.0,0.03,10,16,0,0,0,0,2,24
Scott Twine,26,2026-03-14,Middlesbrough,Bristol City,6.5,78,,,0.0,0,0,0.0,0.01,13,21,0,0,1,0,5,30
Scott Twine,26,2026-03-10,Leicester City,Bristol City,6.4,60,,,0.0,0,0,0.06,0.04,29,33,2,0,0,0,0,51
Scott Twine,26,2026-03-07,Bristol City,Coventry City,7.1,45,,,0.0,0,0,0.36,0.07,29,32,2,0,0,0,3,43
Scott Twine,26,2026-03-03,Port Vale,Bristol City,6.5,94,,,0.0,0,0,0.0,0.0,25,35,2,0,1,0,4,63
Scott Twine,26,2026-02-27,Bristol City,Watford,7.5,61,,,0.0,1,0,0.49,0.01,15,19,0,0,0,0,2,28
Scott Twine,26,2026-02-24,Blackburn Rovers,Bristol City,7.7,59,,,0.0,1,0,0.22,0.02,29,32,1,0,1,0,3,45
Scott Twine,26,2026-02-21,Swansea City,Bristol City,6.4,34,,,0.0,0,0,0.0,0.11,7,11,1,0,0,0,2,18
