Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Sammie Szmodics,30,2026-05-02,Derby County,Sheffield United,7.4,90,,,0.0,1,0,1.1,0.15,25,29,1,0,0,0,2,40
Sammie Szmodics,30,2026-04-25,Queens Park Rangers,Derby County,6.2,89,,,0.0,0,0,0.0,0.01,5,9,0,0,0,0,1,15
Sammie Szmodics,30,2026-04-21,Norwich City,Derby County,6.4,90,,,0.0,0,0,0.41,0.01,16,20,1,0,0,0,4,31
Sammie Szmodics,30,2026-04-18,Derby County,Oxford United,7.6,89,,,0.0,0,0,0.32,0.13,21,23,2,0,0,0,2,35
Sammie Szmodics,30,2026-04-11,Southampton,Derby County,6.6,90,,,0.0,0,0,0.05,0.01,12,14,0,0,0,0,4,20
Sammie Szmodics,30,2026-03-26,Czechia,Ireland,,4,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2
Sammie Szmodics,30,2026-03-21,Derby County,Birmingham City,7.0,83,,,0.0,0,0,0.16,0.26,18,20,4,0,0,0,3,35
Sammie Szmodics,30,2026-03-16,Portsmouth,Derby County,7.7,72,,,0.0,1,0,0.09,0.01,9,9,0,0,0,0,1,14
Sammie Szmodics,30,2026-03-10,Millwall,Derby County,7.0,90,,,0.0,0,0,0.11,0.02,12,18,1,0,1,0,8,32
Sammie Szmodics,30,2026-03-07,Derby County,Sheffield Wednesday,7.0,74,,,0.0,0,0,0.05,0.05,17,20,1,0,0,0,4,27
Sammie Szmodics,30,2026-02-28,Derby County,Blackburn Rovers,6.5,80,,,0.0,0,0,0.1,0.02,13,14,1,0,0,0,1,27
Sammie Szmodics,30,2026-02-24,Hull City,Derby County,7.6,90,,,0.0,1,0,0.62,0.86,11,18,4,0,2,0,4,34
Sammie Szmodics,30,2026-02-21,Watford,Derby County,6.2,90,,,0.0,0,0,0.06,0.03,18,24,0,0,0,0,3,31
Sammie Szmodics,30,2026-02-14,Derby County,Swansea City,6.6,88,,,0.0,0,0,0.02,0.0,9,10,0,0,0,0,2,24
Sammie Szmodics,30,2026-01-24,Sheffield United,Ipswich Town,6.4,57,,,0.0,0,0,0.1,0.0,12,16,0,0,0,0,1,22
