Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Liam Millar,26,2026-05-11,Millwall,Hull City,6.8,78,,,0.0,0,0,0.0,0.04,7,13,1,0,0,0,3,28
Liam Millar,26,2026-05-08,Hull City,Millwall,6.6,69,,,0.0,0,0,0.0,0.02,5,5,1,0,0,0,3,15
Liam Millar,26,2026-05-02,Hull City,Norwich City,6.8,82,,,0.0,0,0,0.0,0.01,19,22,0,0,2,0,3,32
Liam Millar,26,2026-04-25,Charlton Athletic,Hull City,6.5,70,,,0.0,0,0,0.18,0.05,15,17,3,0,0,0,3,31
Liam Millar,26,2026-04-21,Leicester City,Hull City,8.5,72,,,0.0,1,0,0.35,0.63,13,19,2,0,2,0,8,42
Liam Millar,26,2026-04-18,Hull City,Birmingham City,6.8,75,,,0.0,0,0,0.12,0.02,10,13,1,0,1,0,5,30
Liam Millar,26,2026-04-11,Sheffield United,Hull City,7.2,71,,,0.0,0,0,0.1,0.25,17,23,4,0,1,0,7,42
Liam Millar,26,2026-04-06,Hull City,Coventry City,7.2,74,,,0.0,0,0,0.05,0.03,17,22,1,0,0,0,3,39
Liam Millar,26,2026-04-03,Oxford United,Hull City,6.4,12,,,0.0,0,0,0.0,0.0,5,5,0,0,0,0,1,9
Liam Millar,26,2026-04-01,Canada,Tunisia,7.7,76,,,0.0,0,0,0.0,0.0,16,23,2,0,0,0,3,47
Liam Millar,26,2026-03-28,Canada,Iceland,,3,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,2,8
Liam Millar,26,2026-03-21,Hull City,Sheffield Wednesday,6.7,69,,,0.0,0,0,0.0,0.07,14,20,2,0,1,0,4,34
Liam Millar,26,2026-03-14,West Bromwich Albion,Hull City,6.6,39,,,0.0,0,0,0.03,0.0,4,6,0,0,0,0,1,18
Liam Millar,26,2026-03-10,Wrexham,Hull City,6.2,82,,,0.0,0,0,0.32,0.05,9,14,1,0,1,0,1,36
Liam Millar,26,2026-03-07,Hull City,Millwall,7.4,81,,,0.0,0,0,0.08,0.26,21,27,3,0,0,0,2,43
