Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jordan James,22,2026-05-02,Blackburn Rovers,Leicester City,6.9,18,,,0.0,0,0,0.03,0.17,5,7,2,0,0,0,1,12
Jordan James,22,2026-04-24,Leicester City,Millwall,6.4,10,,,0.0,0,0,0.0,0.0,4,4,0,0,0,0,0,6
Jordan James,22,2026-04-21,Leicester City,Hull City,7.4,61,,,0.0,1,0,0.86,0.16,14,16,1,0,0,0,2,33
Jordan James,22,2026-04-18,Portsmouth,Leicester City,6.7,20,,,0.0,0,0,0.0,0.12,5,7,1,0,0,0,1,13
Jordan James,22,2026-04-11,Leicester City,Swansea City,6.6,17,,,0.0,0,0,0.13,0.02,8,11,2,0,0,0,1,16
Jordan James,22,2026-03-26,Wales,Bosnia & Herzegovina,6.5,56,,,0.0,0,0,0.0,0.0,12,17,0,0,0,0,2,27
Jordan James,22,2026-03-21,Watford,Leicester City,6.4,61,,,0.0,0,0,0.06,0.01,8,10,1,0,0,0,2,27
Jordan James,22,2026-03-14,Leicester City,Queens Park Rangers,8.1,78,,,0.0,1,0,0.1,0.16,24,30,0,0,0,0,5,39
Jordan James,22,2026-03-10,Leicester City,Bristol City,7.3,68,,,0.0,0,0,0.03,0.21,11,21,2,0,0,0,3,34
Jordan James,22,2026-03-07,Ipswich Town,Leicester City,6.7,20,,,0.0,0,0,0.0,0.0,4,4,1,0,0,0,1,8
Jordan James,22,2026-02-28,Leicester City,Norwich City,6.4,14,,,0.0,0,0,0.03,0.01,14,19,0,0,0,0,3,23
Jordan James,22,2026-01-20,Wrexham,Leicester City,6.5,41,,,0.0,0,0,0.0,0.02,15,18,0,0,0,0,1,22
Jordan James,22,2026-01-17,Coventry City,Leicester City,8.0,90,,,0.0,1,0,0.73,0.26,30,32,4,0,0,0,3,52
Jordan James,22,2026-01-10,Cheltenham Town,Leicester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jordan James,22,2026-01-05,Leicester City,West Bromwich Albion,6.7,90,,,0.0,0,0,0.11,0.36,38,50,4,0,0,0,9,70
