Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Victor Kristiansen,23,2026-02-21,Stoke City,Leicester City,6.2,39,,,0.0,0,0,0.0,0.01,8,14,0,0,1,0,0,23
Victor Kristiansen,23,2026-02-14,Southampton,Leicester City,6.4,67,,,0.0,0,0,0.0,0.0,29,32,0,0,1,0,1,47
Victor Kristiansen,23,2026-02-10,Leicester City,Southampton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Victor Kristiansen,23,2026-02-07,Birmingham City,Leicester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Victor Kristiansen,23,2025-11-01,Leicester City,Blackburn Rovers,6.4,64,,,0.0,0,0,0.0,0.07,24,27,1,0,0,0,1,40
Victor Kristiansen,23,2025-10-21,Hull City,Leicester City,6.7,10,,,0.0,0,0,0.0,0.0,4,7,0,0,0,0,1,9
Victor Kristiansen,23,2025-09-30,Leicester City,Wrexham,6.4,45,,,0.0,0,0,0.0,0.01,23,26,0,0,0,0,2,37
Victor Kristiansen,23,2025-09-26,West Bromwich Albion,Leicester City,6.9,17,,,0.0,0,0,0.0,0.0,10,13,0,0,0,0,0,17
Victor Kristiansen,23,2025-09-20,Leicester City,Coventry City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Victor Kristiansen,23,2025-05-25,Bournemouth,Leicester City,6.5,89,,,0.0,0,0,0.0,0.01,12,19,0,0,2,0,2,32
Victor Kristiansen,23,2025-05-18,Leicester City,Ipswich Town,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Victor Kristiansen,23,2025-05-11,Nottingham Forest,Leicester City,6.3,13,,,0.0,0,0,0.0,0.0,4,4,0,0,0,0,0,5
Victor Kristiansen,23,2025-05-03,Leicester City,Southampton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Victor Kristiansen,23,2025-04-26,Wolverhampton,Leicester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
