Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Aji Alese,25,2026-02-07,Preston North End,Portsmouth,6.5,12,,,0.0,0,0,0.0,0.0,5,9,0,0,0,0,0,14
Aji Alese,25,2026-01-31,Portsmouth,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Aji Alese,25,2025-01-11,Sunderland,Stoke City,6.7,59,,,0.0,0,0,0.0,0.0,23,28,0,0,1,0,0,46
Aji Alese,25,2025-01-05,Sunderland,Portsmouth,6.6,45,,,0.0,0,0,0.0,0.0,9,12,1,0,0,0,0,20
Aji Alese,25,2025-01-01,Sunderland,Sheffield United,6.7,90,,,0.0,0,0,0.0,0.0,14,23,0,0,1,0,3,45
Aji Alese,25,2024-12-29,Stoke City,Sunderland,6.9,23,,,0.0,0,0,0.05,0.01,12,18,0,0,0,0,3,29
Aji Alese,25,2024-12-26,Blackburn Rovers,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Aji Alese,25,2024-12-21,Sunderland,Norwich City,6.5,14,,,0.0,0,0,0.0,0.0,4,5,0,0,0,0,1,7
Aji Alese,25,2024-12-14,Swansea City,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Aji Alese,25,2024-12-10,Sunderland,Bristol City,6.8,63,,,0.0,0,0,0.0,0.08,24,29,1,0,2,0,5,51
Aji Alese,25,2024-12-07,Sunderland,Stoke City,7.3,79,,,0.0,0,0,0.07,0.16,23,30,1,0,0,0,6,58
Aji Alese,25,2024-11-29,Sheffield United,Sunderland,6.3,13,,,0.0,0,0,0.0,0.01,11,13,0,0,0,0,1,21
Aji Alese,25,2024-11-26,Sunderland,West Bromwich Albion,6.8,22,,,0.0,0,0,0.0,0.02,12,12,0,0,0,0,1,13
Aji Alese,25,2024-11-23,Millwall,Sunderland,6.9,90,,,0.0,0,0,0.34,0.0,11,17,0,0,3,0,2,46
Aji Alese,25,2024-08-24,Sunderland,Burnley,7.1,90,,,0.0,0,0,0.0,0.01,49,54,0,0,0,0,2,63
