Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Michael Smith,34,2026-05-02,Preston North End,Southampton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Michael Smith,34,2026-04-25,Sheffield United,Preston North End,,1,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,3
Michael Smith,34,2026-04-22,Birmingham City,Preston North End,6.8,12,,,0.0,0,0,0.0,0.0,5,5,0,0,0,0,0,6
Michael Smith,34,2026-04-18,Preston North End,West Bromwich Albion,6.6,18,,,0.0,0,0,0.0,0.12,4,7,1,0,0,0,0,9
Michael Smith,34,2026-04-11,Charlton Athletic,Preston North End,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Michael Smith,34,2026-04-06,Preston North End,Queens Park Rangers,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Michael Smith,34,2026-04-03,Leicester City,Preston North End,6.7,10,,,0.0,0,0,0.08,0.0,1,3,0,0,0,0,0,8
Michael Smith,34,2026-03-20,Preston North End,Stoke City,6.6,11,,,0.0,0,0,0.0,0.01,3,4,0,0,0,0,1,4
Michael Smith,34,2026-03-14,Norwich City,Preston North End,6.4,9,,,0.0,0,0,0.61,0.02,4,5,0,0,0,0,0,8
Michael Smith,34,2026-03-11,Coventry City,Preston North End,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Michael Smith,34,2026-03-06,Preston North End,Oxford United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Michael Smith,34,2026-02-28,Preston North End,Millwall,,1,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,1
Michael Smith,34,2026-02-24,Swansea City,Preston North End,6.4,18,,,0.0,0,0,0.0,0.0,3,7,0,0,0,0,0,16
Michael Smith,34,2026-02-20,Blackburn Rovers,Preston North End,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Michael Smith,34,2026-02-14,Preston North End,Watford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
