Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Tyler Bindon,21,2026-04-22,Sheffield United,Blackburn Rovers,7.3,45,,,0.0,0,0,0.47,0.03,51,56,0,0,1,0,5,72
Tyler Bindon,21,2026-04-18,Watford,Sheffield United,6.8,13,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,1,6
Tyler Bindon,21,2026-04-11,Sheffield United,Hull City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tyler Bindon,21,2026-04-06,Bristol City,Sheffield United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Tyler Bindon,21,2026-04-03,Sheffield United,Swansea City,7.0,90,,,0.0,0,0,0.0,0.01,49,61,0,0,0,0,4,74
Tyler Bindon,21,2026-03-30,New Zealand,Chile,6.7,90,,,0.0,0,0,0.0,0.0,58,64,0,0,0,0,5,67
Tyler Bindon,21,2026-03-27,New Zealand,Finland,6.8,90,,,0.0,0,0,0.0,0.0,65,76,0,0,2,0,8,87
Tyler Bindon,21,2026-03-21,Sheffield United,Wrexham,6.3,90,,,0.0,0,0,0.0,0.01,49,57,0,0,4,0,7,66
Tyler Bindon,21,2026-03-14,Birmingham City,Sheffield United,7.1,90,,,0.0,0,0,0.0,0.01,40,43,0,0,3,0,5,62
Tyler Bindon,21,2026-03-11,Norwich City,Sheffield United,7.3,90,,,0.0,0,0,0.0,0.0,41,45,0,0,2,0,5,68
Tyler Bindon,21,2026-03-07,Sheffield United,West Bromwich Albion,7.6,90,,,0.0,0,0,0.0,0.14,78,89,1,0,1,0,3,102
Tyler Bindon,21,2026-02-28,Queens Park Rangers,Sheffield United,8.3,90,,,0.0,0,0,0.0,0.01,64,74,1,0,1,0,4,96
Tyler Bindon,21,2026-02-25,Sheffield United,Coventry City,7.0,90,,,0.0,0,0,0.02,0.01,59,69,1,0,2,0,4,90
Tyler Bindon,21,2026-02-22,Sheffield United,Sheffield Wednesday,7.1,90,,,0.0,0,0,0.0,0.0,29,34,0,0,1,0,1,51
Tyler Bindon,21,2026-02-14,Portsmouth,Sheffield United,7.3,90,,,0.0,0,0,0.08,0.0,29,37,0,0,3,0,1,59
