Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ashley Phillips,20,2026-05-02,Bristol City,Stoke City,6.2,90,,,0.0,0,0,0.0,0.01,44,47,0,0,1,0,0,56
Ashley Phillips,20,2026-04-25,Stoke City,Portsmouth,6.0,90,,,0.0,0,0,0.23,0.0,19,29,1,0,0,0,2,39
Ashley Phillips,20,2026-04-21,Stoke City,Millwall,6.0,90,,,0.0,0,0,0.0,0.0,17,22,0,0,1,0,0,30
Ashley Phillips,20,2026-04-11,Stoke City,Blackburn Rovers,6.5,87,,,0.0,0,0,0.0,0.01,66,75,0,0,0,0,3,85
Ashley Phillips,20,2026-04-06,Derby County,Stoke City,7.0,90,,,0.0,0,0,0.0,0.0,24,30,0,0,1,0,4,51
Ashley Phillips,20,2026-04-03,Stoke City,Sheffield Wednesday,7.3,90,,,0.0,0,0,0.0,0.0,28,30,0,0,0,0,2,47
Ashley Phillips,20,2026-03-31,England U21,Moldova U21,6.9,90,,,0.0,0,0,0.0,0.0,76,78,0,0,0,0,7,81
Ashley Phillips,20,2026-03-27,Andorra U21,England U21,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ashley Phillips,20,2026-03-20,Preston North End,Stoke City,6.2,90,,,0.0,0,0,0.0,0.01,34,47,0,0,2,0,2,61
Ashley Phillips,20,2026-03-14,Stoke City,Watford,6.2,90,,,0.0,0,0,0.14,0.0,35,43,0,0,0,0,2,50
Ashley Phillips,20,2026-03-10,Stoke City,Ipswich Town,6.1,90,,,0.0,0,0,0.36,0.0,15,17,0,0,1,0,1,29
Ashley Phillips,20,2026-03-07,Swansea City,Stoke City,6.3,90,,,0.0,0,0,0.18,0.0,27,33,0,0,1,0,2,44
Ashley Phillips,20,2026-02-28,Coventry City,Stoke City,6.8,90,,,0.0,0,0,0.0,0.0,31,36,0,0,1,0,0,52
Ashley Phillips,20,2026-02-25,Stoke City,Oxford United,7.2,90,,,0.0,0,0,0.0,0.01,50,53,0,0,0,0,3,63
Ashley Phillips,20,2026-02-21,Stoke City,Leicester City,6.3,90,,,0.0,0,0,0.0,0.0,26,34,0,0,2,0,2,44
