Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ben Cabango,25,2026-05-02,Swansea City,Charlton Athletic,6.6,90,,,0.0,0,0,0.06,0.02,82,93,0,0,0,0,2,106
Ben Cabango,25,2026-04-25,Norwich City,Swansea City,6.8,90,,,0.0,0,0,0.0,0.01,48,63,0,0,0,0,3,70
Ben Cabango,25,2026-04-21,Queens Park Rangers,Swansea City,7.0,90,,,0.0,0,0,0.0,0.0,78,88,1,0,0,0,2,101
Ben Cabango,25,2026-04-18,Swansea City,Southampton,6.6,90,,,0.0,0,0,0.0,0.01,40,51,0,0,1,0,3,68
Ben Cabango,25,2026-04-11,Leicester City,Swansea City,7.2,90,,,0.0,0,0,0.03,0.01,51,63,0,0,1,0,6,73
Ben Cabango,25,2026-04-06,Swansea City,Middlesbrough,7.8,90,,,0.0,0,0,0.12,0.01,41,44,0,0,0,0,4,70
Ben Cabango,25,2026-04-03,Sheffield United,Swansea City,6.6,90,,,0.0,0,0,0.0,0.0,46,59,0,0,3,0,7,72
Ben Cabango,25,2026-03-31,Wales,Northern Ireland,6.4,45,,,0.0,0,0,0.0,0.0,38,45,0,0,0,0,0,50
Ben Cabango,25,2026-03-26,Wales,Bosnia & Herzegovina,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ben Cabango,25,2026-03-21,Swansea City,Coventry City,5.6,90,,,0.0,0,0,0.0,0.0,63,76,0,0,2,0,4,90
Ben Cabango,25,2026-03-13,Wrexham,Swansea City,6.6,90,,,0.0,0,0,0.19,0.02,80,93,1,0,0,0,5,107
Ben Cabango,25,2026-03-10,Portsmouth,Swansea City,6.7,90,,,0.0,0,0,0.0,0.0,19,35,0,0,1,0,0,58
Ben Cabango,25,2026-03-07,Swansea City,Stoke City,7.5,90,,,0.0,0,0,0.0,0.04,72,81,0,0,2,0,1,89
Ben Cabango,25,2026-02-28,Ipswich Town,Swansea City,6.4,90,,,0.0,0,0,0.0,0.01,64,76,0,0,4,0,5,94
Ben Cabango,25,2026-02-24,Swansea City,Preston North End,7.3,90,,,0.0,0,0,0.19,0.21,54,68,1,0,0,0,3,89
