Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Nampalys Mendy,33,2026-05-02,Watford,Coventry City,7.2,62,,,0.0,0,0,0.0,0.57,15,17,2,0,0,0,0,23
Nampalys Mendy,33,2026-04-25,Middlesbrough,Watford,6.3,63,,,0.0,0,0,0.0,0.01,15,20,1,0,0,0,1,24
Nampalys Mendy,33,2026-04-21,West Bromwich Albion,Watford,6.9,90,,,0.0,0,0,0.04,0.01,30,37,0,0,5,0,11,53
Nampalys Mendy,33,2026-04-18,Watford,Sheffield United,6.9,81,,,0.0,0,0,0.02,0.01,23,29,0,0,0,0,5,37
Nampalys Mendy,33,2026-04-11,Oxford United,Watford,6.3,60,,,0.0,0,0,0.0,0.02,32,41,0,0,1,0,4,47
Nampalys Mendy,33,2026-04-06,Watford,Charlton Athletic,6.8,90,,,0.0,0,0,0.0,0.04,38,43,2,0,0,0,1,52
Nampalys Mendy,33,2026-04-03,Queens Park Rangers,Watford,6.9,33,,,0.0,0,0,0.0,0.01,21,21,0,0,0,0,3,26
Nampalys Mendy,33,2026-03-21,Watford,Leicester City,6.4,23,,,0.0,0,0,0.0,0.01,9,12,0,0,0,0,1,12
Nampalys Mendy,33,2026-03-17,Watford,Wrexham,7.0,19,,,0.0,0,0,0.0,0.01,6,7,0,0,0,0,1,8
Nampalys Mendy,33,2026-03-14,Stoke City,Watford,7.2,71,,,0.0,0,0,0.0,0.02,26,30,0,0,1,0,3,39
Nampalys Mendy,33,2026-03-10,Sheffield Wednesday,Watford,6.6,65,,,0.0,0,0,0.0,0.02,43,47,1,0,0,0,0,53
Nampalys Mendy,33,2026-02-27,Bristol City,Watford,7.3,86,,,0.0,0,0,0.0,0.01,21,26,0,0,1,0,6,39
Nampalys Mendy,33,2026-02-24,Watford,Ipswich Town,6.7,90,,,0.0,0,0,0.0,0.01,21,23,0,0,1,0,3,36
Nampalys Mendy,33,2026-02-21,Watford,Derby County,6.8,90,,,0.0,0,0,0.01,0.01,18,22,2,0,2,0,7,30
Nampalys Mendy,33,2026-02-14,Preston North End,Watford,6.6,90,,,0.0,0,0,0.0,0.04,24,38,0,0,3,0,6,57
