Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Eseosa Sule,20,2026-05-02,Sheffield Wednesday,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-04-25,West Bromwich Albion,Ipswich Town,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-04-21,West Bromwich Albion,Watford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-04-18,Preston North End,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-04-10,West Bromwich Albion,Millwall,6.6,15,,,0.0,0,0,0.0,0.11,1,1,0,0,0,0,0,4
Eseosa Sule,20,2026-04-06,Blackburn Rovers,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-04-03,West Bromwich Albion,Wrexham,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-03-06,Ipswich Town U21,West Bromwich Albion U21,,86,,,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-03-02,West Bromwich Albion U21,Derby County U21,,85,,,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-02-23,West Bromwich Albion U21,Blackburn U21,,90,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-02-07,Nottingham Forest U21,West Bromwich Albion U21,,68,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-01-26,Southampton U21,West Bromwich Albion U21,,63,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Eseosa Sule,20,2026-01-19,West Bromwich Albion U21,Leicester City U21,,26,,,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0
