Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Joshua Griffiths,24,2026-05-02,Sheffield Wednesday,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-04-25,West Bromwich Albion,Ipswich Town,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-04-21,West Bromwich Albion,Watford,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-04-18,Preston North End,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-04-10,West Bromwich Albion,Millwall,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-04-06,Blackburn Rovers,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-04-03,West Bromwich Albion,Wrexham,5.9,90,,,0.0,0,0,0.0,0.01,15,34,0,0,0,0,9,39
Joshua Griffiths,24,2026-03-21,Bristol City,West Bromwich Albion,7.3,90,,,0.0,0,0,0.0,0.0,17,32,0,0,0,0,6,39
Joshua Griffiths,24,2026-03-14,West Bromwich Albion,Hull City,6.3,24,,,0.0,0,0,0.0,0.0,2,12,0,0,0,0,3,15
Joshua Griffiths,24,2026-03-11,West Bromwich Albion,Southampton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-03-07,Sheffield United,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-02-14,Norwich City,West Bromwich Albion,7.1,45,,,0.0,0,0,0.0,0.0,11,16,0,0,0,0,6,24
Joshua Griffiths,24,2026-02-10,Birmingham City,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-02-07,West Bromwich Albion,Stoke City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Joshua Griffiths,24,2026-01-31,Portsmouth,West Bromwich Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
