Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
James Lawrence,33,2026-05-13,Almere City FC,Willem II Tilburg,7.3,90,,,0.0,0,0,0.0,0.0,87,106,0,0,3,0,6,126
James Lawrence,33,2026-05-09,De Graafschap,Almere City FC,6.5,90,,,0.0,0,0,0.0,0.0,15,27,0,0,1,0,2,44
James Lawrence,33,2026-05-06,Almere City FC,De Graafschap,7.1,90,,,0.0,0,0,0.0,0.0,33,46,0,0,0,0,5,65
James Lawrence,33,2026-05-02,Almere City FC,FC Den Bosch,7.6,90,,,0.0,0,0,0.0,0.0,32,42,0,0,1,0,4,55
James Lawrence,33,2026-04-29,FC Den Bosch,Almere City FC,6.6,90,,,0.0,0,0,0.0,0.0,38,43,0,0,2,0,1,64
James Lawrence,33,2026-04-24,VVV-Venlo,Almere City FC,6.4,90,,,0.0,0,0,0.17,0.01,47,55,0,0,2,0,3,74
James Lawrence,33,2026-04-17,Almere City FC,FC Dordrecht,6.6,90,,,0.0,0,0,0.02,0.01,51,55,0,0,0,0,6,68
James Lawrence,33,2026-04-12,Willem II Tilburg,Almere City FC,5.8,90,,,0.0,0,0,0.0,0.01,64,76,0,0,1,0,4,93
James Lawrence,33,2026-04-06,Almere City FC,FC Den Bosch,6.7,90,,,0.0,0,0,0.03,0.02,59,69,0,0,2,0,3,86
James Lawrence,33,2026-04-03,Almere City FC,TOP Oss,6.4,90,,,0.0,0,0,0.02,0.02,55,65,0,0,2,0,2,78
James Lawrence,33,2026-03-20,Jong Ajax,Almere City FC,7.2,90,,,0.0,0,0,0.0,0.0,29,37,0,0,1,0,4,49
James Lawrence,33,2026-03-17,Almere City FC,RKC Waalwijk,5.9,90,,,0.0,0,0,0.18,0.01,63,71,0,0,2,0,5,83
James Lawrence,33,2026-03-13,Vitesse,Almere City FC,6.9,90,,,0.0,0,0,0.0,0.11,45,53,1,0,1,0,2,76
James Lawrence,33,2026-03-07,Almere City FC,ADO Den Haag,7.3,90,,,0.0,0,0,0.0,0.0,21,39,0,0,3,0,6,55
James Lawrence,33,2026-03-03,SC Cambuur,Almere City FC,6.1,87,,,0.0,0,0,0.0,0.02,38,44,0,0,0,0,4,55
