Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jizz Hornkamp,28,2026-03-15,AZ Alkmaar,Heracles Almelo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jizz Hornkamp,28,2026-03-12,AZ Alkmaar,AC Sparta Praha,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jizz Hornkamp,28,2026-03-07,PSV Eindhoven,AZ Alkmaar,,2,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,0,3
Jizz Hornkamp,28,2026-03-04,AZ Alkmaar,SC Telstar,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jizz Hornkamp,28,2026-03-01,FC Utrecht,AZ Alkmaar,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jizz Hornkamp,28,2026-02-26,AZ Alkmaar,FC Noah,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jizz Hornkamp,28,2026-02-22,AZ Alkmaar,Sparta Rotterdam,6.4,60,,,0.0,0,0,0.0,0.04,8,16,0,0,0,0,1,28
Jizz Hornkamp,28,2026-02-19,FC Noah,AZ Alkmaar,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jizz Hornkamp,28,2026-02-14,Excelsior,AZ Alkmaar,6.7,57,,,0.0,0,0,0.07,0.01,3,5,1,0,0,0,0,17
Jizz Hornkamp,28,2026-02-08,AZ Alkmaar,AFC Ajax,6.4,45,,,0.0,0,0,0.25,0.04,6,9,1,0,0,0,0,13
Jizz Hornkamp,28,2026-02-03,AZ Alkmaar,FC Twente,6.8,48,,,0.0,0,0,0.0,0.0,9,14,2,0,0,0,5,25
Jizz Hornkamp,28,2026-01-31,AZ Alkmaar,NEC Nijmegen,6.3,25,,,0.0,0,0,0.18,0.0,4,10,0,0,0,0,0,16
Jizz Hornkamp,28,2026-01-25,SC Telstar,AZ Alkmaar,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jizz Hornkamp,28,2026-01-21,AZ Alkmaar,Excelsior,6.8,12,,,0.0,0,0,0.0,0.13,2,4,1,0,0,0,0,4
Jizz Hornkamp,28,2026-01-17,PEC Zwolle,AZ Alkmaar,6.3,24,,,0.0,0,0,0.0,0.0,7,9,0,0,0,0,1,9
