Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Stijn Bultman,21,2026-05-06,Almere City FC,De Graafschap,6.2,45,,,0.0,0,0,0.0,0.0,25,30,0,0,0,0,3,39
Stijn Bultman,21,2026-04-24,FC Emmen,De Graafschap,6.8,90,,,0.0,0,0,0.11,0.0,44,51,0,0,3,0,0,68
Stijn Bultman,21,2026-04-17,De Graafschap,SC Cambuur,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Stijn Bultman,21,2026-04-11,VVV-Venlo,De Graafschap,6.0,28,,,0.0,0,0,0.0,0.0,4,5,0,0,0,0,0,13
Stijn Bultman,21,2026-04-06,De Graafschap,Jong AZ Alkmaar,7.3,45,,,0.0,1,0,0.74,0.01,26,31,1,0,0,0,2,38
Stijn Bultman,21,2026-04-03,FC Eindhoven,De Graafschap,6.0,29,,,0.0,0,0,0.0,0.0,23,25,0,0,0,0,0,30
Stijn Bultman,21,2026-03-28,Willem II Tilburg,De Graafschap,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Stijn Bultman,21,2026-03-22,De Graafschap,ADO Den Haag,6.7,15,,,0.0,0,0,0.0,0.0,9,12,0,0,0,0,0,16
Stijn Bultman,21,2026-03-14,De Graafschap,FC Dordrecht,6.3,22,,,0.0,0,0,0.0,0.0,7,8,0,0,1,0,1,16
Stijn Bultman,21,2026-03-08,De Graafschap,Vitesse,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Stijn Bultman,21,2026-02-27,MVV Maastricht,De Graafschap,6.7,14,,,0.0,0,0,0.14,0.0,22,26,0,0,0,0,0,28
Stijn Bultman,21,2026-02-20,De Graafschap,Jong FC Utrecht,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Stijn Bultman,21,2026-02-13,Jong PSV Eindhoven,De Graafschap,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Stijn Bultman,21,2026-02-06,De Graafschap,Jong Ajax,6.9,90,,,0.0,0,0,0.0,0.01,53,60,0,0,1,0,2,67
Stijn Bultman,21,2026-01-31,Helmond Sport,De Graafschap,7.3,45,,,0.0,0,0,0.0,0.02,58,62,0,0,0,0,3,73
