Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Oskar Zawada,30,2026-03-07,FC Groningen,AFC Ajax,9.2,31,,,0.0,2,0,0.26,0.63,6,9,2,0,0,0,1,13
Oskar Zawada,30,2026-03-01,FC Volendam,FC Groningen,6.3,13,,,0.0,0,0,0.01,0.0,2,4,0,0,0,0,0,7
Oskar Zawada,30,2026-02-22,FC Twente,FC Groningen,6.6,11,,,0.0,0,0,0.0,0.02,1,1,0,0,0,0,0,2
Oskar Zawada,30,2026-02-14,FC Groningen,FC Utrecht,6.2,11,,,0.0,0,0,0.36,0.0,3,6,0,0,0,0,3,11
Oskar Zawada,30,2026-02-08,FC Groningen,PSV Eindhoven,6.5,12,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,3
Oskar Zawada,30,2026-01-31,Sparta Rotterdam,FC Groningen,6.4,28,,,0.0,0,0,0.0,0.01,6,7,0,0,0,0,0,10
Oskar Zawada,30,2026-01-25,FC Groningen,Fortuna Sittard,6.2,24,,,0.0,0,0,0.13,0.0,0,3,0,0,0,0,0,8
Oskar Zawada,30,2026-01-18,SC Heerenveen,FC Groningen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Oskar Zawada,30,2026-01-10,FC Groningen,NAC Breda,6.2,25,,,0.0,0,0,0.56,0.0,6,8,0,0,0,0,1,13
Oskar Zawada,30,2025-12-21,Go Ahead Eagles,FC Groningen,6.2,22,,,0.0,0,0,0.24,0.0,8,10,0,0,0,0,1,14
Oskar Zawada,30,2025-12-13,FC Groningen,FC Volendam,6.4,15,,,0.0,0,0,0.0,0.0,3,4,0,0,0,0,0,4
Oskar Zawada,30,2025-11-23,FC Groningen,PEC Zwolle,6.3,14,,,0.0,0,0,0.17,0.0,1,2,1,0,0,0,0,6
Oskar Zawada,30,2025-11-09,NEC Nijmegen,FC Groningen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
