Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Bart van Rooij,24,2026-05-10,FC Twente,Sparta Rotterdam,9.4,90,,,0.0,0,0,0.04,0.18,46,53,2,0,0,0,9,81
Bart van Rooij,24,2026-05-03,AZ Alkmaar,FC Twente,7.0,90,,,0.0,0,0,0.06,0.06,28,35,0,0,1,0,4,78
Bart van Rooij,24,2026-04-25,FC Twente,NEC Nijmegen,7.5,90,,,0.0,0,0,0.0,0.06,39,52,2,0,0,0,4,84
Bart van Rooij,24,2026-04-10,FC Twente,FC Volendam,6.9,75,,,0.0,0,0,0.03,0.05,51,57,0,0,0,0,6,81
Bart van Rooij,24,2026-04-04,AFC Ajax,FC Twente,8.0,90,,,0.0,1,0,0.13,0.03,45,57,0,0,1,0,4,87
Bart van Rooij,24,2026-03-21,Fortuna Sittard,FC Twente,7.6,90,,,0.0,0,0,0.0,0.12,48,62,1,0,1,0,5,92
Bart van Rooij,24,2026-03-15,FC Twente,FC Utrecht,7.4,90,,,0.0,0,0,0.0,0.18,61,71,1,0,1,0,11,95
Bart van Rooij,24,2026-03-08,Go Ahead Eagles,FC Twente,8.7,90,,,0.0,0,0,0.03,0.34,30,39,1,0,1,0,3,85
Bart van Rooij,24,2026-03-01,FC Twente,Feyenoord,8.4,90,,,0.0,0,0,0.0,0.31,43,50,4,0,0,0,8,73
Bart van Rooij,24,2026-02-22,FC Twente,FC Groningen,7.3,90,,,0.0,0,0,0.03,0.02,45,52,1,0,0,0,7,84
Bart van Rooij,24,2026-02-15,SC Telstar,FC Twente,7.0,90,,,0.0,0,0,0.03,0.13,33,40,1,0,2,0,8,73
Bart van Rooij,24,2026-02-07,FC Twente,SC Heerenveen,7.7,90,,,0.0,0,0,0.27,0.13,58,65,1,0,2,0,6,94
Bart van Rooij,24,2026-02-03,AZ Alkmaar,FC Twente,7.6,119,,,0.0,0,0,0.0,0.0,52,62,5,0,2,0,8,109
Bart van Rooij,24,2026-01-30,NAC Breda,FC Twente,7.4,90,,,0.0,0,0,0.0,0.08,20,31,1,0,1,0,2,69
Bart van Rooij,24,2026-01-18,Heracles Almelo,FC Twente,7.9,90,,,0.0,0,0,0.04,0.08,54,64,2,0,1,0,7,96
