Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Issam El Maach,26,2025-05-09,Roda JC Kerkrade,FC Eindhoven,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Issam El Maach,26,2025-05-02,FC Volendam,Roda JC Kerkrade,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Issam El Maach,26,2025-04-24,Roda JC Kerkrade,ADO Den Haag,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Issam El Maach,26,2025-03-29,Roda JC Kerkrade,VVV-Venlo,6.8,90,,,0.0,0,0,0.0,0.0,37,53,0,0,0,0,14,63
Issam El Maach,26,2025-03-14,SC Telstar,Roda JC Kerkrade,7.4,90,,,0.0,0,0,0.0,0.0,23,44,0,0,0,0,9,58
Issam El Maach,26,2025-03-11,Roda JC Kerkrade,Helmond Sport,6.6,90,,,0.0,0,0,0.0,0.0,8,26,1,0,0,0,7,29
Issam El Maach,26,2025-03-07,Roda JC Kerkrade,Jong PSV Eindhoven,7.2,90,,,0.0,0,0,0.0,0.0,18,36,0,0,0,0,12,50
Issam El Maach,26,2025-03-02,Excelsior,Roda JC Kerkrade,7.8,90,,,0.0,0,0,0.0,0.0,15,31,0,0,0,0,9,43
Issam El Maach,26,2025-02-21,Roda JC Kerkrade,FC Den Bosch,7.6,90,,,0.0,0,0,0.0,0.0,32,38,0,0,0,0,9,49
Issam El Maach,26,2025-02-14,FC Dordrecht,Roda JC Kerkrade,6.5,90,,,0.0,0,0,0.0,0.0,25,34,0,0,0,0,8,35
Issam El Maach,26,2025-02-07,Roda JC Kerkrade,Jong AZ Alkmaar,5.7,90,,,0.0,0,0,0.0,0.0,13,30,0,0,0,0,7,36
Issam El Maach,26,2025-02-01,MVV Maastricht,Roda JC Kerkrade,6.6,90,,,0.0,0,0,0.0,0.0,24,47,0,0,0,0,7,56
Issam El Maach,26,2025-01-24,Roda JC Kerkrade,Jong FC Utrecht,7.4,90,,,0.0,0,0,0.0,0.0,31,42,0,0,0,0,14,58
Issam El Maach,26,2025-01-20,Roda JC Kerkrade,SC Cambuur,7.4,90,,,0.0,0,0,0.0,0.0,34,53,1,0,0,0,9,62
