Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Hwang In-beom,29,2026-03-15,Feyenoord,Excelsior,7.1,44,,,0.0,0,0,0.41,0.19,9,11,2,0,0,0,2,20
Hwang In-beom,29,2026-03-08,NAC Breda,Feyenoord,6.8,86,,,0.0,0,0,0.0,0.18,37,45,2,0,1,0,5,60
Hwang In-beom,29,2026-03-01,FC Twente,Feyenoord,6.6,29,,,0.0,0,0,0.0,0.01,12,15,0,0,2,0,2,19
Hwang In-beom,29,2026-02-22,Feyenoord,SC Telstar,6.8,89,,,0.0,0,0,0.04,0.13,36,40,1,0,1,0,5,51
Hwang In-beom,29,2026-02-15,Feyenoord,Go Ahead Eagles,7.5,90,,,0.0,0,0,0.05,0.63,73,80,7,0,0,0,4,102
Hwang In-beom,29,2026-02-08,FC Utrecht,Feyenoord,6.4,82,,,0.0,0,0,0.0,0.01,31,39,0,0,0,0,3,55
Hwang In-beom,29,2026-02-01,PSV Eindhoven,Feyenoord,6.5,64,,,0.0,0,0,0.01,0.17,25,33,1,0,1,0,2,39
Hwang In-beom,29,2026-01-29,Real Betis,Feyenoord,7.0,29,,,0.0,0,0,0.02,0.03,22,22,0,0,0,0,1,31
Hwang In-beom,29,2026-01-25,Feyenoord,Heracles Almelo,7.1,90,,,0.0,0,0,0.24,0.45,36,42,3,0,1,0,4,60
Hwang In-beom,29,2026-01-22,Feyenoord,SK Sturm Graz,6.9,79,,,0.0,0,0,0.06,0.05,45,48,1,0,3,0,5,60
Hwang In-beom,29,2026-01-18,Feyenoord,Sparta Rotterdam,8.1,72,,,0.0,1,0,0.03,0.06,40,45,3,0,1,0,5,49
Hwang In-beom,29,2026-01-11,SC Heerenveen,Feyenoord,7.0,90,,,0.0,0,0,0.04,0.09,44,56,1,0,1,0,9,73
Hwang In-beom,29,2025-12-21,Feyenoord,FC Twente,6.7,76,,,0.0,0,0,0.02,0.38,33,46,0,0,2,0,5,59
Hwang In-beom,29,2025-12-17,Feyenoord,SC Heerenveen,6.5,45,,,0.0,0,0,0.0,0.0,22,28,0,0,2,0,3,40
Hwang In-beom,29,2025-12-14,AFC Ajax,Feyenoord,6.6,27,,,0.0,0,0,0.0,0.39,13,20,0,0,0,0,2,31
