Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ivo Pinto,36,2026-04-25,SC Heerenveen,Fortuna Sittard,5.6,20,,,0.0,0,0,0.0,0.0,10,12,0,0,0,0,3,21
Ivo Pinto,36,2026-03-21,Fortuna Sittard,FC Twente,6.1,57,,,0.0,0,0,0.0,0.12,4,11,1,0,1,0,4,27
Ivo Pinto,36,2026-03-14,FC Volendam,Fortuna Sittard,6.5,90,,,0.0,0,0,0.0,0.34,12,21,1,0,1,0,5,42
Ivo Pinto,36,2026-03-08,Fortuna Sittard,SC Telstar,6.2,45,,,0.0,0,0,0.02,0.0,10,12,0,0,0,0,4,26
Ivo Pinto,36,2026-02-28,NEC Nijmegen,Fortuna Sittard,6.2,90,,,0.0,0,0,0.0,0.01,11,24,0,0,2,0,6,55
Ivo Pinto,36,2026-02-20,Fortuna Sittard,Excelsior,6.6,90,,,0.0,0,0,0.0,0.03,34,40,0,0,1,0,5,58
Ivo Pinto,36,2026-02-14,AFC Ajax,Fortuna Sittard,6.5,90,,,0.0,0,0,0.0,0.06,28,34,1,0,0,0,5,58
Ivo Pinto,36,2026-02-07,Fortuna Sittard,Sparta Rotterdam,6.6,69,,,0.0,0,0,0.0,0.11,14,18,2,0,1,0,1,32
Ivo Pinto,36,2026-02-01,Heracles Almelo,Fortuna Sittard,6.4,77,,,0.0,0,0,0.0,0.06,15,26,1,0,0,0,0,48
Ivo Pinto,36,2026-01-25,FC Groningen,Fortuna Sittard,7.2,90,,,0.0,0,0,0.0,0.36,14,23,1,0,0,0,3,41
Ivo Pinto,36,2026-01-17,Fortuna Sittard,PSV Eindhoven,6.3,82,,,0.0,0,0,0.0,0.01,14,17,0,0,1,0,0,35
Ivo Pinto,36,2026-01-11,Go Ahead Eagles,Fortuna Sittard,7.0,89,,,0.0,0,0,0.0,0.25,32,42,2,0,1,0,7,60
Ivo Pinto,36,2025-12-21,Fortuna Sittard,AZ Alkmaar,6.1,89,,,0.0,0,0,0.01,0.05,16,22,2,0,0,0,7,40
Ivo Pinto,36,2025-12-17,Fortuna Sittard,Almere City FC,6.2,80,,,0.0,0,0,0.0,0.0,18,24,1,0,0,0,1,35
Ivo Pinto,36,2025-12-13,PEC Zwolle,Fortuna Sittard,6.0,59,,,0.0,0,0,0.0,0.02,13,17,0,0,0,0,1,27
