Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Owen Johnson,20,2026-05-03,Fortuna Sittard,Feyenoord,6.5,8,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,3
Owen Johnson,20,2026-04-25,SC Heerenveen,Fortuna Sittard,6.5,10,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2
Owen Johnson,20,2026-04-12,Fortuna Sittard,NAC Breda,6.6,9,,,0.0,0,0,0.0,0.0,1,2,0,0,0,0,0,5
Owen Johnson,20,2026-04-04,AZ Alkmaar,Fortuna Sittard,6.3,12,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,0,4
Owen Johnson,20,2025-12-21,Fortuna Sittard,AZ Alkmaar,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Owen Johnson,20,2025-08-08,Fortuna Sittard,Go Ahead Eagles,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Owen Johnson,20,2025-05-18,Fortuna Sittard,FC Utrecht,,1,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,1
Owen Johnson,20,2025-05-14,Almere City FC,Fortuna Sittard,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Owen Johnson,20,2025-05-10,Fortuna Sittard,NAC Breda,6.5,9,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2
Owen Johnson,20,2025-02-01,SC Heerenveen,Fortuna Sittard,6.5,10,,,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,2
