Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Julius Dirksen,23,2026-05-10,Go Ahead Eagles,PSV Eindhoven,6.3,86,,,0.0,0,0,0.0,0.01,21,24,1,0,1,0,0,37
Julius Dirksen,23,2026-05-03,Sparta Rotterdam,Go Ahead Eagles,7.7,90,,,0.0,1,0,0.03,0.0,40,44,0,0,1,0,2,57
Julius Dirksen,23,2026-04-23,Go Ahead Eagles,AZ Alkmaar,7.7,90,,,0.0,0,0,0.03,0.01,42,52,0,0,2,0,5,67
Julius Dirksen,23,2026-04-11,FC Groningen,Go Ahead Eagles,8.6,79,,,0.0,0,0,0.0,0.25,29,37,1,0,3,0,1,59
Julius Dirksen,23,2026-04-05,Go Ahead Eagles,PEC Zwolle,7.5,73,,,0.0,0,0,0.0,0.0,25,34,0,0,0,0,6,46
Julius Dirksen,23,2026-03-22,FC Utrecht,Go Ahead Eagles,6.7,90,,,0.0,0,0,0.0,0.03,57,68,1,0,0,0,4,80
Julius Dirksen,23,2026-03-15,Go Ahead Eagles,NAC Breda,6.9,90,,,0.0,0,0,0.0,0.01,22,30,0,0,1,0,3,49
Julius Dirksen,23,2026-03-08,Go Ahead Eagles,FC Twente,6.7,71,,,0.0,0,0,0.0,0.01,47,51,0,0,2,0,3,64
Julius Dirksen,23,2026-03-01,Excelsior,Go Ahead Eagles,7.4,85,,,0.0,0,0,0.08,0.0,43,51,0,0,1,0,1,66
Julius Dirksen,23,2026-02-22,Go Ahead Eagles,Heracles Almelo,6.8,58,,,0.0,0,0,0.0,0.0,36,39,0,0,1,0,3,45
Julius Dirksen,23,2026-02-15,Feyenoord,Go Ahead Eagles,6.6,90,,,0.0,0,0,0.02,0.0,10,14,0,0,0,0,1,32
Julius Dirksen,23,2026-02-11,Go Ahead Eagles,SC Heerenveen,8.2,55,,,0.0,1,0,0.06,0.04,21,24,1,0,0,0,1,37
Julius Dirksen,23,2026-02-08,Go Ahead Eagles,SC Telstar,7.2,71,,,0.0,0,0,0.0,0.01,37,41,0,0,1,0,3,47
Julius Dirksen,23,2026-02-05,SC Telstar,Go Ahead Eagles,7.2,26,,,0.0,0,0,0.0,0.0,18,19,0,0,0,0,3,29
Julius Dirksen,23,2026-02-01,FC Volendam,Go Ahead Eagles,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
