Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Erik Ahlstrand,24,2026-05-10,SC Telstar,Heracles Almelo,6.2,23,,,0.0,0,0,0.0,0.01,3,4,0,0,0,0,0,11
Erik Ahlstrand,24,2026-05-03,PEC Zwolle,Heracles Almelo,6.4,31,,,0.0,0,0,0.06,0.0,10,13,1,0,0,0,2,21
Erik Ahlstrand,24,2026-04-26,Heracles Almelo,FC Volendam,6.5,31,,,0.0,0,0,0.0,0.1,8,11,1,0,0,0,2,19
Erik Ahlstrand,24,2026-04-11,Heracles Almelo,AFC Ajax,6.8,35,,,0.0,0,0,0.0,0.08,13,15,2,0,0,0,3,28
Erik Ahlstrand,24,2026-04-05,SC Heerenveen,Heracles Almelo,6.4,90,,,0.0,0,0,0.0,0.04,16,21,0,0,2,0,3,41
Erik Ahlstrand,24,2026-03-20,Heracles Almelo,Excelsior,6.4,72,,,0.0,0,0,0.22,0.02,9,12,0,0,0,0,1,30
Erik Ahlstrand,24,2026-03-15,AZ Alkmaar,Heracles Almelo,6.7,90,,,0.0,0,0,0.0,0.85,19,26,0,0,1,0,4,39
Erik Ahlstrand,24,2026-03-06,Heracles Almelo,FC Utrecht,6.4,62,,,0.0,0,0,0.03,0.02,8,14,0,0,0,0,3,26
Erik Ahlstrand,24,2026-02-28,Heracles Almelo,PSV Eindhoven,6.6,90,,,0.0,0,0,0.0,0.49,22,30,5,0,2,0,2,45
Erik Ahlstrand,24,2026-02-22,Go Ahead Eagles,Heracles Almelo,6.0,30,,,0.0,0,0,0.03,0.03,9,11,0,0,1,0,1,23
Erik Ahlstrand,24,2026-02-14,Heracles Almelo,NAC Breda,6.8,29,,,0.0,0,0,0.0,0.0,7,8,0,0,0,0,3,18
Erik Ahlstrand,24,2026-02-07,NEC Nijmegen,Heracles Almelo,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Erik Ahlstrand,24,2026-01-18,Heracles Almelo,FC Twente,6.2,86,,,0.0,0,0,0.02,0.05,17,21,2,0,1,0,6,48
Erik Ahlstrand,24,2026-01-14,Go Ahead Eagles,Heracles Almelo,6.3,75,,,0.0,0,0,0.0,0.0,22,24,1,0,3,0,5,44
Erik Ahlstrand,24,2026-01-11,Sparta Rotterdam,Heracles Almelo,5.8,64,,,0.0,0,0,0.04,0.03,12,18,0,0,0,0,1,26
