Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Koki Ogawa,28,2026-05-10,FC Groningen,NEC Nijmegen,6.8,19,,,0.0,0,0,0.04,0.06,4,6,0,0,0,0,0,9
Koki Ogawa,28,2026-05-02,NEC Nijmegen,SC Telstar,6.3,23,,,0.0,0,0,0.46,0.0,1,2,1,0,0,0,0,9
Koki Ogawa,28,2026-04-25,FC Twente,NEC Nijmegen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Koki Ogawa,28,2026-04-19,AZ Alkmaar,NEC Nijmegen,7.4,16,,,0.0,1,0,0.0,0.0,2,5,0,0,0,0,0,9
Koki Ogawa,28,2026-04-12,NEC Nijmegen,Feyenoord,6.4,13,,,0.0,0,0,0.0,0.0,1,3,0,0,0,0,0,5
Koki Ogawa,28,2026-04-04,Excelsior,NEC Nijmegen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Koki Ogawa,28,2026-03-31,England,Japan,6.4,24,,,0.0,0,0,0.0,0.0,2,4,0,0,0,0,1,6
Koki Ogawa,28,2026-03-28,Scotland,Japan,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Koki Ogawa,28,2026-03-22,NEC Nijmegen,SC Heerenveen,,2,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Koki Ogawa,28,2026-03-14,PSV Eindhoven,NEC Nijmegen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Koki Ogawa,28,2026-03-08,NEC Nijmegen,FC Volendam,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Koki Ogawa,28,2026-03-03,NEC Nijmegen,PSV Eindhoven,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Koki Ogawa,28,2026-02-28,NEC Nijmegen,Fortuna Sittard,6.0,68,,,0.0,0,0,0.09,0.03,8,13,0,0,0,0,0,17
Koki Ogawa,28,2026-02-21,AFC Ajax,NEC Nijmegen,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Koki Ogawa,28,2026-02-17,Sparta Rotterdam,NEC Nijmegen,7.5,21,,,0.0,1,0,0.31,0.01,4,9,0,0,0,0,0,15
