Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jamiro Monteiro,32,2026-05-10,Fortuna Sittard,PEC Zwolle,7.1,21,,,0.0,0,0,0.0,0.33,19,24,1,0,0,0,2,28
Jamiro Monteiro,32,2026-05-03,PEC Zwolle,Heracles Almelo,6.7,17,,,0.0,0,0,0.0,0.0,9,11,0,0,0,0,3,15
Jamiro Monteiro,32,2026-01-31,PEC Zwolle,SC Telstar,6.4,45,,,0.0,0,0,0.0,0.0,14,19,0,0,1,0,5,27
Jamiro Monteiro,32,2026-01-24,NEC Nijmegen,PEC Zwolle,6.8,89,,,0.0,0,0,0.6,0.09,30,35,3,0,1,0,5,62
Jamiro Monteiro,32,2026-01-17,PEC Zwolle,AZ Alkmaar,6.7,45,,,0.0,0,0,0.0,0.04,9,12,1,0,0,0,3,20
Jamiro Monteiro,32,2026-01-10,FC Twente,PEC Zwolle,6.4,8,,,0.0,0,0,0.0,0.0,3,3,0,0,0,0,1,4
Jamiro Monteiro,32,2025-12-13,PEC Zwolle,Fortuna Sittard,7.2,67,,,0.0,0,0,0.02,0.06,21,28,1,0,0,0,6,38
Jamiro Monteiro,32,2025-12-06,Feyenoord,PEC Zwolle,6.5,45,,,0.0,0,0,0.0,0.02,19,23,0,0,1,0,4,34
Jamiro Monteiro,32,2025-12-03,PEC Zwolle,AZ Alkmaar,6.7,89,,,0.0,0,0,0.0,0.0,26,33,0,0,1,0,3,46
Jamiro Monteiro,32,2025-11-28,PEC Zwolle,SC Heerenveen,6.5,89,,,0.0,0,0,0.08,0.03,29,35,0,0,0,0,7,53
Jamiro Monteiro,32,2025-11-23,FC Groningen,PEC Zwolle,6.7,60,,,0.0,0,0,0.0,0.01,29,34,1,0,1,0,7,45
Jamiro Monteiro,32,2025-11-08,PEC Zwolle,Sparta Rotterdam,8.1,90,,,0.0,0,0,0.04,0.66,32,35,3,0,0,0,9,54
Jamiro Monteiro,32,2025-11-02,Heracles Almelo,PEC Zwolle,6.2,90,,,0.0,0,0,0.06,0.02,36,41,0,0,0,0,8,56
