Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Nazjir Held,20,2026-05-09,Willem II Tilburg,RKC Waalwijk,6.8,90,,,0.0,0,0,0.0,0.0,38,45,2,0,0,0,2,61
Nazjir Held,20,2026-05-05,RKC Waalwijk,Willem II Tilburg,6.8,90,,,0.0,0,0,0.0,0.0,33,41,0,0,0,0,4,63
Nazjir Held,20,2026-05-01,RKC Waalwijk,Roda JC Kerkrade,6.7,120,,,0.0,0,0,0.0,0.0,54,73,0,0,0,0,9,96
Nazjir Held,20,2026-04-28,Roda JC Kerkrade,RKC Waalwijk,6.8,90,,,0.0,0,0,0.0,0.0,22,29,3,0,0,0,1,55
Nazjir Held,20,2026-04-24,RKC Waalwijk,Jong PSV Eindhoven,7.2,90,,,0.0,0,0,0.46,0.02,30,36,0,0,0,0,4,62
Nazjir Held,20,2026-04-17,ADO Den Haag,RKC Waalwijk,6.0,90,,,0.0,0,0,0.0,0.87,17,23,2,0,0,0,3,51
Nazjir Held,20,2026-04-10,RKC Waalwijk,FC Emmen,8.0,90,,,0.0,0,0,0.41,0.38,27,32,0,0,1,0,4,55
Nazjir Held,20,2026-04-06,Helmond Sport,RKC Waalwijk,6.2,73,,,0.0,0,0,0.0,0.01,19,24,0,0,1,0,2,50
Nazjir Held,20,2026-04-03,MVV Maastricht,RKC Waalwijk,7.8,90,,,0.0,1,0,0.24,0.05,29,39,1,0,0,0,6,63
Nazjir Held,20,2026-03-17,Almere City FC,RKC Waalwijk,6.5,90,,,0.0,0,0,0.03,0.28,32,48,1,0,1,0,6,76
Nazjir Held,20,2026-03-13,RKC Waalwijk,Jong AZ Alkmaar,7.4,90,,,0.0,0,0,0.03,0.08,42,53,1,0,4,0,5,83
Nazjir Held,20,2026-03-06,VVV-Venlo,RKC Waalwijk,7.4,90,,,0.0,0,0,0.27,0.3,36,46,2,0,1,0,4,69
Nazjir Held,20,2026-02-27,RKC Waalwijk,FC Eindhoven,8.1,90,,,0.0,1,0,0.21,0.2,33,41,2,0,2,0,1,79
Nazjir Held,20,2026-02-20,SC Cambuur,RKC Waalwijk,6.9,68,,,0.0,0,0,0.11,0.19,20,26,1,0,1,0,1,53
Nazjir Held,20,2026-02-13,RKC Waalwijk,Roda JC Kerkrade,6.5,10,,,0.0,0,0,0.1,0.0,1,2,0,0,0,0,0,5
