Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Tim van der Leij,20,2026-05-01,RKC Waalwijk,Roda JC Kerkrade,6.3,29,,,0.0,0,0,0.0,0.0,5,6,1,0,0,0,2,13
Tim van der Leij,20,2026-04-28,Roda JC Kerkrade,RKC Waalwijk,6.3,17,,,0.0,0,0,0.0,0.0,6,9,0,0,0,0,0,16
Tim van der Leij,20,2026-04-24,RKC Waalwijk,Jong PSV Eindhoven,5.8,90,,,0.0,0,0,0.15,0.15,22,29,0,0,0,0,8,54
Tim van der Leij,20,2026-04-17,ADO Den Haag,RKC Waalwijk,6.2,45,,,0.0,1,0,0.79,0.0,7,7,0,0,0,0,0,17
Tim van der Leij,20,2026-04-10,RKC Waalwijk,FC Emmen,7.4,90,,,0.0,2,0,1.33,0.2,17,22,1,0,0,0,5,49
Tim van der Leij,20,2026-04-06,Helmond Sport,RKC Waalwijk,6.5,13,,,0.0,0,0,0.0,0.01,4,5,1,0,0,0,1,10
Tim van der Leij,20,2026-04-03,MVV Maastricht,RKC Waalwijk,6.5,10,,,0.0,0,0,0.02,0.0,2,3,0,0,0,0,2,9
Tim van der Leij,20,2026-03-21,RKC Waalwijk,FC Den Bosch,6.4,9,,,0.0,0,0,0.0,0.01,2,3,0,0,0,0,0,5
Tim van der Leij,20,2026-03-17,Almere City FC,RKC Waalwijk,6.2,11,,,0.0,0,0,0.15,0.02,5,10,1,0,0,0,2,13
Tim van der Leij,20,2026-03-13,RKC Waalwijk,Jong AZ Alkmaar,6.3,15,,,0.0,0,0,0.28,0.0,2,3,0,0,0,0,0,9
Tim van der Leij,20,2026-03-06,VVV-Venlo,RKC Waalwijk,7.7,15,,,0.0,1,0,0.11,0.0,2,2,0,0,0,0,2,7
Tim van der Leij,20,2026-02-27,RKC Waalwijk,FC Eindhoven,6.6,8,,,0.0,0,0,0.0,0.0,2,2,0,0,0,0,2,4
Tim van der Leij,20,2026-02-20,SC Cambuur,RKC Waalwijk,6.2,22,,,0.0,0,0,0.07,0.04,6,10,1,0,0,0,1,14
Tim van der Leij,20,2026-02-13,RKC Waalwijk,Roda JC Kerkrade,6.2,90,,,0.0,0,0,0.12,0.12,13,16,1,0,0,0,3,33
Tim van der Leij,20,2026-02-08,Willem II Tilburg,RKC Waalwijk,6.1,68,,,0.0,0,0,0.04,0.02,12,15,1,0,0,0,1,25
