Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Yorem van der Veen,20,2026-05-09,Willem II Tilburg,RKC Waalwijk,6.4,8,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Yorem van der Veen,20,2026-05-05,RKC Waalwijk,Willem II Tilburg,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Yorem van der Veen,20,2026-05-01,RKC Waalwijk,Roda JC Kerkrade,7.0,39,,,0.0,0,0,0.0,0.0,19,28,3,0,1,0,2,44
Yorem van der Veen,20,2026-04-28,Roda JC Kerkrade,RKC Waalwijk,6.7,12,,,0.0,0,0,0.0,0.0,2,2,1,0,0,0,1,6
Yorem van der Veen,20,2026-04-10,RKC Waalwijk,FC Emmen,,7,,,0.0,0,0,0.0,0.02,6,6,0,0,0,0,0,9
Yorem van der Veen,20,2026-04-06,Helmond Sport,RKC Waalwijk,7.2,89,,,0.0,0,0,0.2,0.3,24,36,2,0,0,0,5,65
Yorem van der Veen,20,2026-04-03,MVV Maastricht,RKC Waalwijk,6.8,90,,,0.0,0,0,0.09,0.33,26,33,4,0,0,0,5,56
Yorem van der Veen,20,2026-03-21,RKC Waalwijk,FC Den Bosch,7.0,30,,,0.0,0,0,0.05,0.11,8,11,0,0,0,0,3,26
Yorem van der Veen,20,2026-03-17,Almere City FC,RKC Waalwijk,6.9,20,,,0.0,0,0,0.0,0.01,2,3,0,0,0,0,1,13
Yorem van der Veen,20,2026-03-13,RKC Waalwijk,Jong AZ Alkmaar,6.6,29,,,0.0,0,0,0.0,0.15,7,11,1,0,1,0,4,20
Yorem van der Veen,20,2026-03-06,VVV-Venlo,RKC Waalwijk,7.0,15,,,0.0,0,0,0.08,0.13,6,8,2,0,1,0,1,15
Yorem van der Veen,20,2026-02-27,RKC Waalwijk,FC Eindhoven,6.8,22,,,0.0,0,0,0.0,0.0,6,8,0,0,0,0,0,16
Yorem van der Veen,20,2026-02-20,SC Cambuur,RKC Waalwijk,6.8,22,,,0.0,0,0,0.0,0.02,5,6,1,0,0,0,2,12
Yorem van der Veen,20,2026-02-13,RKC Waalwijk,Roda JC Kerkrade,6.9,45,,,0.0,0,0,0.03,0.26,16,20,1,0,0,0,6,28
Yorem van der Veen,20,2026-02-08,Willem II Tilburg,RKC Waalwijk,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
