Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Sam Kersten,28,2026-05-11,NAC Breda,SC Heerenveen,6.5,90,,,0.0,0,0,0.02,0.0,29,36,0,0,2,0,5,51
Sam Kersten,28,2026-05-03,FC Volendam,SC Heerenveen,7.5,90,,,0.0,0,0,0.0,0.01,36,39,0,0,0,0,3,50
Sam Kersten,28,2026-04-25,SC Heerenveen,Fortuna Sittard,6.9,90,,,0.0,0,0,0.0,0.02,68,73,1,0,0,0,4,84
Sam Kersten,28,2026-04-12,AZ Alkmaar,SC Heerenveen,6.6,90,,,0.0,0,0,0.0,0.0,34,39,0,0,1,0,3,52
Sam Kersten,28,2026-04-05,SC Heerenveen,Heracles Almelo,6.8,90,,,0.0,0,0,0.04,0.02,58,64,0,0,0,0,4,72
Sam Kersten,28,2026-03-22,NEC Nijmegen,SC Heerenveen,6.9,77,,,0.0,0,0,0.02,0.12,23,32,0,0,1,0,2,48
Sam Kersten,28,2026-03-14,SC Heerenveen,SC Telstar,7.0,90,,,0.0,0,0,0.0,0.02,32,36,0,0,1,0,0,49
Sam Kersten,28,2026-03-07,Excelsior,SC Heerenveen,6.8,90,,,0.0,0,0,0.0,0.0,37,44,0,0,1,0,2,58
Sam Kersten,28,2026-02-21,PSV Eindhoven,SC Heerenveen,6.2,90,,,0.0,0,0,0.0,0.01,23,26,0,0,0,0,1,40
Sam Kersten,28,2026-02-15,SC Heerenveen,PEC Zwolle,7.1,90,,,0.0,0,0,0.0,0.01,45,56,0,0,2,0,6,73
Sam Kersten,28,2026-02-11,Go Ahead Eagles,SC Heerenveen,6.7,90,,,0.0,0,0,0.0,0.01,38,43,1,0,1,0,4,61
Sam Kersten,28,2026-02-07,FC Twente,SC Heerenveen,5.5,61,,,0.0,0,0,0.0,0.0,21,28,0,0,0,0,1,41
Sam Kersten,28,2026-02-04,PSV Eindhoven,SC Heerenveen,6.0,75,,,0.0,0,0,0.0,0.0,28,34,0,0,0,0,3,45
Sam Kersten,28,2026-01-18,SC Heerenveen,FC Groningen,7.3,22,,,0.0,0,0,0.0,0.0,7,7,1,0,1,0,0,11
Sam Kersten,28,2026-01-15,SC Heerenveen,RKC Waalwijk,6.9,90,,,0.0,0,0,0.0,0.0,82,85,0,0,2,0,4,94
