Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jeff Hardeveld,31,2026-05-10,SC Telstar,Heracles Almelo,8.1,90,,,0.0,1,0,0.38,0.34,15,27,4,0,3,0,1,53
Jeff Hardeveld,31,2026-05-02,NEC Nijmegen,SC Telstar,7.1,90,,,0.0,0,0,0.0,0.04,13,25,0,0,0,0,3,51
Jeff Hardeveld,31,2026-04-22,SC Telstar,Sparta Rotterdam,7.2,90,,,0.0,1,0,0.21,0.07,24,31,1,0,1,0,2,54
Jeff Hardeveld,31,2026-04-11,FC Utrecht,SC Telstar,6.0,90,,,0.0,0,0,0.0,0.6,35,45,3,0,0,0,5,64
Jeff Hardeveld,31,2026-04-04,SC Telstar,FC Groningen,7.5,90,,,0.0,0,0,0.26,0.07,33,42,1,0,0,0,3,61
Jeff Hardeveld,31,2026-03-22,SC Telstar,PSV Eindhoven,7.5,90,,,0.0,0,0,0.0,0.22,26,38,2,0,1,0,1,67
Jeff Hardeveld,31,2026-03-14,SC Heerenveen,SC Telstar,6.8,90,,,0.0,0,0,0.14,0.25,45,51,4,0,1,0,4,69
Jeff Hardeveld,31,2026-03-08,Fortuna Sittard,SC Telstar,7.9,90,,,0.0,0,0,0.0,0.15,19,24,3,0,1,0,3,52
Jeff Hardeveld,31,2026-03-04,AZ Alkmaar,SC Telstar,6.7,90,,,0.0,0,0,0.0,0.0,10,21,1,0,5,0,3,43
Jeff Hardeveld,31,2026-02-27,SC Telstar,NAC Breda,7.1,90,,,0.0,0,0,0.11,0.32,25,39,3,0,1,0,2,69
Jeff Hardeveld,31,2026-02-22,Feyenoord,SC Telstar,8.6,90,,,0.0,0,0,0.0,0.08,28,37,0,0,2,0,4,63
Jeff Hardeveld,31,2026-02-15,SC Telstar,FC Twente,7.4,90,,,0.0,0,0,0.0,0.27,28,46,1,0,3,0,4,70
Jeff Hardeveld,31,2026-02-08,Go Ahead Eagles,SC Telstar,7.2,90,,,0.0,1,0,0.28,0.11,20,33,1,0,2,0,4,59
Jeff Hardeveld,31,2026-02-05,SC Telstar,Go Ahead Eagles,7.2,90,,,0.0,1,0,0.0,0.0,34,53,0,0,1,0,4,77
Jeff Hardeveld,31,2026-01-31,PEC Zwolle,SC Telstar,5.9,90,,,0.0,0,0,0.16,0.29,16,28,1,0,0,0,6,54
