Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Mitchell Van Bergen,26,2026-05-10,FC Twente,Sparta Rotterdam,6.6,19,,,0.0,0,0,0.0,0.0,1,1,0,0,0,0,0,5
Mitchell Van Bergen,26,2026-05-03,Sparta Rotterdam,Go Ahead Eagles,7.4,90,,,0.0,0,0,0.18,0.38,19,24,2,0,0,0,1,45
Mitchell Van Bergen,26,2026-04-22,SC Telstar,Sparta Rotterdam,7.6,90,,,0.0,0,0,0.06,0.54,21,25,2,0,2,0,4,56
Mitchell Van Bergen,26,2026-04-05,NAC Breda,Sparta Rotterdam,6.8,90,,,0.0,0,0,0.1,0.02,19,21,1,0,0,0,3,39
Mitchell Van Bergen,26,2026-03-21,Sparta Rotterdam,FC Volendam,7.4,90,,,0.0,0,0,0.92,0.2,17,24,1,0,0,0,6,52
Mitchell Van Bergen,26,2026-03-14,AFC Ajax,Sparta Rotterdam,6.4,45,,,0.0,0,0,0.0,0.0,7,8,0,0,0,0,1,19
Mitchell Van Bergen,26,2026-03-08,Sparta Rotterdam,PEC Zwolle,6.6,90,,,0.0,0,0,0.42,0.18,17,20,3,0,0,0,2,46
Mitchell Van Bergen,26,2026-02-28,SC Heerenveen,Sparta Rotterdam,7.9,90,,,0.0,1,0,0.08,0.35,21,25,0,0,0,0,3,53
Mitchell Van Bergen,26,2026-02-22,AZ Alkmaar,Sparta Rotterdam,5.9,90,,,0.0,0,0,0.04,0.15,18,29,1,0,0,0,3,48
Mitchell Van Bergen,26,2026-02-17,Sparta Rotterdam,NEC Nijmegen,7.0,90,,,0.0,0,0,0.05,0.33,11,14,1,0,1,0,3,31
Mitchell Van Bergen,26,2026-02-07,Fortuna Sittard,Sparta Rotterdam,6.4,78,,,0.0,0,0,0.0,0.1,37,43,2,0,1,0,0,64
Mitchell Van Bergen,26,2026-01-31,Sparta Rotterdam,FC Groningen,6.7,88,,,0.0,0,0,0.37,0.05,29,34,1,0,0,0,6,52
Mitchell Van Bergen,26,2026-01-25,FC Utrecht,Sparta Rotterdam,6.8,90,,,0.0,0,0,0.03,0.04,11,18,1,0,0,0,3,32
Mitchell Van Bergen,26,2026-01-18,Feyenoord,Sparta Rotterdam,7.7,69,,,0.0,1,0,0.6,0.0,9,15,0,0,0,0,2,26
Mitchell Van Bergen,26,2026-01-15,Sparta Rotterdam,FC Volendam,7.5,90,,,0.0,0,0,0.0,0.0,24,28,2,0,0,0,0,47
