Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Thomas Didillon,30,2026-05-13,Almere City FC,Willem II Tilburg,6.6,90,,,0.0,0,0,0.0,0.0,14,40,0,0,0,0,15,51
Thomas Didillon,30,2026-05-09,Willem II Tilburg,RKC Waalwijk,7.0,90,,,0.0,0,0,0.0,0.0,10,28,0,0,0,0,5,40
Thomas Didillon,30,2026-05-05,RKC Waalwijk,Willem II Tilburg,6.7,90,,,0.0,0,0,0.0,0.0,17,20,0,0,0,0,6,23
Thomas Didillon,30,2026-04-24,FC Dordrecht,Willem II Tilburg,6.6,90,,,0.0,0,0,0.0,0.0,15,32,0,0,0,0,4,36
Thomas Didillon,30,2026-04-17,Willem II Tilburg,Jong AZ Alkmaar,7.5,90,,,0.0,0,0,0.0,0.0,31,39,0,0,0,0,7,49
Thomas Didillon,30,2026-04-12,Willem II Tilburg,Almere City FC,6.7,90,,,0.0,0,0,0.0,0.0,25,48,0,0,0,0,14,60
Thomas Didillon,30,2026-04-06,Roda JC Kerkrade,Willem II Tilburg,7.5,90,,,0.0,0,0,0.0,0.01,29,36,0,0,0,0,6,37
Thomas Didillon,30,2026-04-03,Willem II Tilburg,Jong PSV Eindhoven,7.3,90,,,0.0,0,0,0.0,0.0,26,41,0,0,0,0,16,49
Thomas Didillon,30,2026-03-28,Willem II Tilburg,De Graafschap,5.9,90,,,0.0,0,0,0.0,0.01,17,27,0,0,0,0,2,31
Thomas Didillon,30,2026-03-22,MVV Maastricht,Willem II Tilburg,8.3,90,,,0.0,0,0,0.0,0.0,26,29,0,0,0,0,4,36
Thomas Didillon,30,2026-03-13,TOP Oss,Willem II Tilburg,7.0,90,,,0.0,0,0,0.0,0.0,31,35,0,0,0,0,8,45
Thomas Didillon,30,2026-03-08,Willem II Tilburg,FC Den Bosch,7.6,90,,,0.0,0,0,0.0,0.0,13,33,0,0,0,0,11,42
Thomas Didillon,30,2026-02-27,FC Emmen,Willem II Tilburg,6.9,90,,,0.0,0,0,0.0,0.0,20,27,0,0,0,0,8,33
Thomas Didillon,30,2026-02-24,Willem II Tilburg,ADO Den Haag,7.8,90,,,0.0,0,0,0.0,0.01,22,42,0,0,0,0,7,49
Thomas Didillon,30,2026-02-20,Willem II Tilburg,Vitesse,8.8,90,,,0.0,0,0,0.0,0.0,16,34,0,0,0,0,10,45
