Nom,Age,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Nahuel Tenaglia,30,2026-01-18,Atlético Madrid,Deportivo Alavés,6.9,90,9720.0,18.0,108.0,0,0,0.0,0.01,48,49,0,0,0,0,9,60,0.0,1.85
Nahuel Tenaglia,30,2026-01-25,Deportivo Alavés,Real Betis,6.7,90,9720.0,18.0,108.0,0,0,0.0,0.01,22,31,0,0,1,0,5,67,0.0,1.85
Nahuel Tenaglia,30,2026-01-30,Espanyol,Deportivo Alavés,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Nahuel Tenaglia,30,2026-02-04,Deportivo Alavés,Real Sociedad,5.8,90,9720.0,18.0,108.0,0,0,0.0,0.0,26,39,0,0,1,0,2,49,0.0,1.85
Nahuel Tenaglia,30,2026-02-08,Deportivo Alavés,Getafe,6.3,90,9720.0,18.0,108.0,0,0,0.07,0.0,41,51,0,0,1,0,2,80,0.0,1.85
Nahuel Tenaglia,30,2026-02-14,Sevilla,Deportivo Alavés,6.4,90,9720.0,18.0,108.0,0,0,0.0,0.12,54,63,1,0,1,0,1,90,0.0,1.85
Nahuel Tenaglia,30,2026-02-23,Deportivo Alavés,Girona FC,6.8,90,9720.0,18.0,108.0,0,0,0.05,0.0,43,47,0,0,1,0,3,66,0.0,1.85
Nahuel Tenaglia,30,2026-02-27,Levante UD,Deportivo Alavés,6.7,90,9720.0,18.0,108.0,0,0,0.0,0.0,42,49,0,0,0,0,3,68,0.0,1.85
Nahuel Tenaglia,30,2026-03-08,Valencia,Deportivo Alavés,7.3,90,9720.0,18.0,108.0,0,0,0.0,0.0,19,22,0,0,0,0,2,44,0.0,1.85
Nahuel Tenaglia,30,2026-03-13,Deportivo Alavés,Villarreal,6.9,89,9612.0,18.0,108.0,0,0,0.0,0.0,23,28,1,0,5,0,2,43,0.0,1.87
Nahuel Tenaglia,30,2026-03-22,Celta Vigo,Deportivo Alavés,5.9,90,9720.0,18.0,108.0,0,0,0.0,0.04,46,52,0,0,3,0,6,64,0.0,1.85
Nahuel Tenaglia,30,2026-04-05,Deportivo Alavés,Osasuna,6.3,90,9720.0,18.0,108.0,0,0,0.0,0.0,28,32,0,0,0,0,5,49,0.0,1.85
Nahuel Tenaglia,30,2026-04-11,Real Sociedad,Deportivo Alavés,6.6,90,9720.0,18.0,108.0,0,0,0.0,0.01,39,44,0,0,2,0,5,67,0.0,1.85
Nahuel Tenaglia,30,2026-04-21,Real Madrid,Deportivo Alavés,7.4,90,9720.0,18.0,108.0,0,0,0.02,0.0,18,20,0,0,1,0,2,36,0.0,1.85
Nahuel Tenaglia,30,2026-04-25,Deportivo Alavés,Mallorca,6.9,90,9720.0,18.0,108.0,0,0,0.34,0.0,44,47,0,0,2,0,6,62,0.0,1.85
Nahuel Tenaglia,30,2026-05-02,Deportivo Alavés,Athletic Club,7.4,90,,,0.0,1,0,0.12,0.0,33,42,0,0,0,0,5,60,,
Nahuel Tenaglia,30,2026-05-09,Elche,Deportivo Alavés,7.0,90,,,0.0,0,0,0.0,0.0,17,19,0,0,2,0,1,31,,
Nahuel Tenaglia,30,2026-05-13,Deportivo Alavés,FC Barcelona,7.3,90,,,0.0,0,0,0.04,0.01,10,15,0,0,3,0,7,42,,
