Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity,Age
David Affengruber,2026-01-19,Elche,Sevilla,6.9,90,9720.0,18.0,108.0,0,0,0.0,0.0,32,39,0,0,2,0,6,62,0,1.85,25
David Affengruber,2026-01-23,Levante UD,Elche,6.7,90,9720.0,18.0,108.0,0,0,0.0,0.01,85,93,1,0,1,0,7,107,0,1.85,25
David Affengruber,2026-01-31,Elche,FC Barcelona,5.8,74,7992.0,15.0,108.0,0,0,0.0,0.0,19,29,0,0,0,0,3,36,0,1.88,25
David Affengruber,2026-02-07,Real Sociedad,Elche,5.9,90,9720.0,18.0,108.0,0,0,0.01,0.01,61,68,0,0,0,0,3,77,0,1.85,25
David Affengruber,2026-02-20,Athletic Club,Elche,6.6,15,1620.0,3.0,108.0,0,0,0.0,0.0,5,7,0,0,1,0,0,19,0,1.85,25
David Affengruber,2026-03-01,Elche,Espanyol,6.7,90,9720.0,18.0,108.0,0,0,0.02,0.03,95,101,0,0,2,0,1,117,0,1.85,25
David Affengruber,2026-03-08,Villarreal,Elche,7.0,90,9720.0,18.0,108.0,0,0,0.02,0.01,69,77,0,0,5,0,8,93,0,1.85,25
David Affengruber,2026-03-14,Real Madrid,Elche,6.5,74,7992.0,15.0,108.0,0,0,0.0,0.01,50,55,0,0,1,0,3,68,0,1.88,25
David Affengruber,2026-03-21,Elche,Mallorca,7.5,90,9720.0,18.0,108.0,0,0,0.0,0.02,26,30,0,0,0,0,2,61,0,1.85,25
David Affengruber,2026-03-27,Austria,Ghana,6.7,10,1080.0,2.0,108.0,0,0,0.0,0.0,10,11,0,0,0,0,0,12,0,1.85,25
David Affengruber,2026-03-31,Austria,South Korea,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,25
David Affengruber,2026-04-03,Rayo Vallecano,Elche,6.8,90,9720.0,18.0,108.0,0,0,0.0,0.01,32,45,0,0,0,0,7,65,0,1.85,25
David Affengruber,2026-04-11,Elche,Valencia,7.6,90,9720.0,18.0,108.0,0,0,0.0,0.01,64,73,1,0,2,0,6,88,0,1.85,25
David Affengruber,2026-04-22,Elche,Atlético Madrid,9.7,90,9720.0,18.0,108.0,1,0,0.13,0.5,95,107,1,0,1,0,4,123,0,1.85,25
David Affengruber,2026-04-26,Real Oviedo,Elche,6.8,90,9720.0,18.0,108.0,0,0,0.01,0.0,25,33,0,0,3,0,2,49,0,1.85,25
